DLiP-ID,J000ET
JGI1,0.18181818181818182
JGI2,0.08333333333333337
JGI3,0.03985507246376811
JGI4,0.04183760683760684
JGI5,0.027419590643274858
JGI6,0.011132593388232484
JGI7,0.014860110710951047
JGI8,0.008952930130385485
JGI9,0.008229595336076818
MIC0,12.826232564218465
MIC1,33.78897690847494
MIC2,39.60209939985341
MIC3,40.85598557030455
MIC4,40.93065223697121
MIC5,40.93065223697121
MPC2,48
MPC3,67
MPC4,89
MPC5,108
MPC6,125
MPC7,145
MPC8,165
MPC9,192
Mare,0.9719259259259262
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.23264493408035067
RPCG,0.11780603484240058
SIC0,0.25058742845944076
SIC1,0.6286473237884185
SIC2,0.8486968846497303
SIC3,0.9243484423248649
SIC4,0.9372199492042309
SIC5,0.9372199492042309
SaaN,4.8091155675528245
SaaO,0
SaaS,0
Sare,52.484000000000016
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.363424417353786
SssS,0
StCH,0
StsC,0
TIC0,77.87353285298795
TIC1,195.36090985467794
TIC2,263.74437510817336
TIC3,287.25415011250027
TIC4,291.25415011250027
TIC5,291.25415011250027
Vabc,356.02041474807265
WPol,46
apol,61.65382499999999
bpol,31.104174999999994
nRot,4
ABCGG,18.30237088742528
ATS0Z,1164.0
ATS0d,187.0
ATS0i,8670.628606801225
ATS0m,4588.264653000002
ATS0p,82.96533062122498
ATS0s,179.52777777777777
ATS0v,12104.223326350937
ATS1Z,1417.0
ATS1d,241.0
ATS1i,8394.4907344409
ATS1m,5376.9224570000015
ATS1p,108.48025574000002
ATS1s,165.58333333333334
ATS1v,15736.794882179503
ATS2Z,2142.0
ATS2d,396.0
ATS2i,15851.99752876059
ATS2m,7992.012063999998
ATS2p,169.2094388913391
ATS2s,279.9444444444444
ATS2v,23965.446904355398
ATS3Z,2232.0
ATS3d,429.0
ATS3i,20534.320494299434
ATS3m,8042.098013999998
ATS3p,189.88781603443297
ATS3s,346.5277777777777
ATS3v,25861.85811642781
ATS4Z,2035.0
ATS4d,393.0
ATS4i,21385.398453132835
ATS4m,7118.404567
ATS4p,179.08180208928198
ATS4s,365.83333333333326
ATS4v,23946.8103255176
ATS5Z,1904.0
ATS5d,370.0
ATS5i,20429.735243040315
ATS5m,6804.9471459999995
ATS5p,164.73091299431897
ATS5s,341.3055555555556
ATS5v,21955.07422275673
ATS6Z,1856.0
ATS6d,353.0
ATS6i,17981.564814878475
ATS6m,6673.826374
ATS6p,159.39716244097994
ATS6s,310.5555555555555
ATS6v,21539.415649606693
ATS7Z,1764.0
ATS7d,347.0
ATS7i,19225.19197143388
ATS7m,6144.293290000001
ATS7p,157.790758645282
ATS7s,320.25
ATS7v,21064.9939376694
ATS8Z,1612.0
ATS8d,330.0
ATS8i,18115.497738435977
ATS8m,5699.22416
ATS8p,147.345056458923
ATS8s,267.25000000000006
ATS8v,19378.06004143681
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,8
C2SP3,5
C3SP2,5
C3SP3,0
C4SP3,0
FCSP3,0.3333333333333333
GGI10,0.16804815835118866
JGI10,0.008002293254818507
JGT10,0.4254413079166294
Kier1,20.877869605142333
Kier2,8.859375
Kier3,4.21652929382936
MAXdO,12.856916743970316
MID_C,50.345287136624485
MID_N,6.361478317636203
MID_O,3.677509336309621
MID_X,0.0
MID_h,10.038987653945824
MINdO,12.856916743970316
MPC10,222
MWC01,33.0
MWC02,5.093750200806762
MWC03,5.973809611869261
MWC04,6.870053411798126
MWC05,7.763446388727362
MWC06,8.661985936317778
MWC07,9.559376212117632
MWC08,10.459468169808975
MWC09,11.358923107476002
MWC10,12.260309852352087
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.230620000000004
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.556828061699537
SRW05,3.4339872044851463
SRW06,7.0909098220799835
SRW07,5.777652323222656
SRW08,8.707978826622321
SRW09,7.839525581704678
SRW10,10.370580700437113
SaaCH,14.302052612537128
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,8.245030461619603
SaasN,2.2565436476566667
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.06248035177237887
SdssS,0
SsCH3,3.6027637131041885
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.2196365583270343
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.573146659129755
VE1_D,5.307195434566121
VE2_A,0.15769471238378466
VE2_D,0.1830067391229697
VE3_A,2.5849122518144383
VE3_D,2.7337742659687105
VR1_A,376.1441713838371
VR1_D,189.11360431674936
VR2_A,12.970488668408176
VR2_D,6.5211587695430815
VR3_A,6.99468324142157
VR3_D,6.307058652516221
WPath,2398
Xc-3d,1.9408206176123197
Xc-4d,0.0
Xc-5d,0.5384516905501369
Xc-6d,0.0
Xp-0d,19.9574546788841
Xp-1d,14.1185248383792
Xp-2d,12.948773681786315
Xp-3d,11.703255924302749
Xp-4d,9.801552056872412
Xp-5d,7.549928440481648
Xp-6d,5.694601770240469
Xp-7d,4.095794888230229
ZMIC0,95.41698241458691
ZMIC1,44.592520818024354
ZMIC2,27.358675937143914
ZMIC3,23.677862509054517
ZMIC4,23.399722694079443
ZMIC5,23.399722694079443
nAcid,0
nAtom,54
nBase,0
nRing,5
piPC1,3.7727609380946383
piPC2,4.3975308212098465
piPC3,5.006459922685775
piPC4,5.565717009116784
piPC5,6.043226481666571
piPC6,6.353608881623973
piPC7,6.697805555070708
piPC8,7.01360629932287
piPC9,7.3901910732416445
AATS0Z,21.555555555555557
AATS0d,3.462962962962963
AATS0i,160.5671964222449
AATS0m,84.96786394444449
AATS0p,1.5363950115041662
AATS0s,3.324588477366255
AATS0v,224.15228382131366
AATS1Z,24.43103448275862
AATS1d,4.155172413793103
AATS1i,144.73259886967068
AATS1m,92.70555960344831
AATS1p,1.870349236896552
AATS1s,2.8548850574712645
AATS1v,271.32404969275007
AATS2Z,20.596153846153847
AATS2d,3.8076923076923075
AATS2i,152.42305316115952
AATS2m,76.84626984615383
AATS2p,1.6270138354936452
AATS2s,2.691773504273504
AATS2v,230.43698946495576
AATS3Z,16.90909090909091
AATS3d,3.25
AATS3i,155.563034047723
AATS3m,60.924984954545444
AATS3p,1.4385440608669164
AATS3s,2.6252104377104373
AATS3v,195.92316754869555
AATS4Z,15.074074074074074
AATS4d,2.911111111111111
AATS4i,158.41035891209506
AATS4m,52.72892271851852
AATS4p,1.3265318673280146
AATS4s,2.709876543209876
AATS4v,177.38378018901926
AATS5Z,14.875
AATS5d,2.890625
AATS5i,159.60730658625246
AATS5m,53.163649578124996
AATS5p,1.286960257768117
AATS5s,2.666449652777778
AATS5v,171.52401736528697
AATS6Z,16.139130434782608
AATS6d,3.0695652173913044
AATS6i,156.3614331728563
AATS6m,58.03327281739131
AATS6p,1.3860622820954778
AATS6s,2.700483091787439
AATS6v,187.2992665183191
AATS7Z,14.7
AATS7d,2.8916666666666666
AATS7i,160.20993309528234
AATS7m,51.20244408333335
AATS7p,1.3149229887106835
AATS7s,2.66875
AATS7v,175.54161614724498
AATS8Z,14.140350877192983
AATS8d,2.8947368421052633
AATS8i,158.9078748985612
AATS8m,49.99319438596491
AATS8p,1.2925004952537107
AATS8s,2.3442982456140355
AATS8v,169.98298281962113
AMID_C,1.736044384021534
AMID_N,0.2193613212978001
AMID_O,0.12681066676929728
AMID_X,0.0
AMID_h,0.34617198806709737
ATS0dv,376.0
ATS0pe,328.4519999999999
ATS0se,406.2423239999999
ATS1dv,407.0
ATS1pe,371.4655
ATS1se,444.0306039999998
ATS2dv,580.0
ATS2pe,652.7442
ATS2se,793.1902399999999
ATS3dv,518.0
ATS3pe,808.2150000000001
ATS3se,994.6145359999998
ATS4dv,475.0
ATS4pe,827.4744999999999
ATS4se,1024.237772
ATS5dv,481.0
ATS5pe,768.4577
ATS5se,958.4989919999998
ATS6dv,411.0
ATS6pe,697.5641000000002
ATS6se,863.2511200000001
ATS7dv,387.0
ATS7pe,736.1781000000001
ATS7se,912.7883919999999
ATS8dv,355.0
ATS8pe,676.6051
ATS8se,846.056152
ATSC0Z,378.14814814814827
ATSC0c,0.8243587980763715
ATSC0d,33.648148148148145
ATSC0i,81.2846525687134
ATSC0m,1807.8373328333328
ATSC0p,12.572846600287498
ATSC0s,46.255658436213984
ATSC0v,2782.006334431384
ATSC1Z,29.39643347050753
ATSC1c,-0.41128036653422645
ATSC1d,14.748285322359399
ATSC1i,-10.349769693937219
ATSC1m,139.1026668271606
ATSC1p,-0.2760069093749966
ATSC1s,-0.4952751105014483
ATSC1v,67.20464404614206
ATSC2Z,58.122085048010945
ATSC2c,0.04339946394189365
ATSC2d,-1.2668038408779105
ATSC2i,10.882353273723684
ATSC2m,280.5590040061729
ATSC2p,2.2777904024765037
ATSC2s,6.932003505563176
ATSC2v,472.6477809519601
ATSC3Z,-58.5843621399177
ATSC3c,0.0672938025237014
ATSC3d,-15.139917695473248
ATSC3i,-21.0727262825957
ATSC3m,-283.34976464814804
ATSC3p,-3.1415517722044966
ATSC3s,1.2305098308184708
ATSC3v,-568.7711572931066
ATSC4Z,-177.59259259259258
ATSC4c,-0.3516985117686722
ATSC4d,-2.175925925925925
ATSC4i,-17.950805380557565
ATSC4m,-844.2885634722222
ATSC4p,-3.9225515868492487
ATSC4s,-18.142232510288068
ATSC4v,-1034.1511327060764
ATSC5Z,81.64883401920436
ATSC5c,0.34311001116567524
ATSC5d,-1.2400548696844984
ATSC5i,1.9433581618969011
ATSC5m,384.2764988580246
ATSC5p,1.4264252509814996
ATSC5s,7.60644337753391
ATSC5v,384.28348826240784
ATSC6Z,0.869684499314122
ATSC6c,0.045555080212190374
ATSC6d,0.4530178326474631
ATSC6i,-13.16447902941529
ATSC6m,1.3137023364198086
ATSC6p,-1.4018457250387482
ATSC6s,-1.2903425544886469
ATSC6v,-196.4140719478322
ATSC7Z,-163.3292181069959
ATSC7c,-0.22748041832541158
ATSC7d,1.9115226337448568
ATSC7i,20.97456250963736
ATSC7m,-766.0689645185184
ATSC7p,-0.011032736068000343
ATSC7s,-27.4328417924097
ATSC7v,-442.1592990227811
ATSC8Z,32.24279835390947
ATSC8c,0.054352035455694274
ATSC8d,-11.905349794238681
ATSC8i,4.186604011215486
ATSC8m,152.29498896296295
ATSC8p,0.5080667499479995
ATSC8s,11.586305441243713
ATSC8v,168.07024392074277
AXp-0d,0.6881880923753139
AXp-1d,0.4278340860114909
AXp-2d,0.26976611837054826
AXp-3d,0.17467546155675745
AXp-4d,0.11012979839182485
AXp-5d,0.06990674481927452
AXp-6d,0.04555681416192375
AXp-7d,0.028246861298139508
GATS1Z,0.7914021074673238
GATS1c,1.4866154634854054
GATS1d,0.6789326855559562
GATS1i,1.2578701028256993
GATS1m,0.7961427995453249
GATS1p,1.0493676236414997
GATS1s,0.584701168727032
GATS1v,0.9493542622542254
GATS2Z,0.8510477096361031
GATS2c,1.1336756966596462
GATS2d,1.20406100503789
GATS2i,1.0194910858634847
GATS2m,0.8510512845208194
GATS2p,0.8982686678341512
GATS2s,0.5840732634543314
GATS2v,0.8732752355537753
GATS3Z,1.011888968034903
GATS3c,1.0087852787002183
GATS3d,1.27680492320008
GATS3i,1.1496772875593078
GATS3m,1.013574919750909
GATS3p,1.083681460976044
GATS3s,0.8464543624656391
GATS3v,1.0523706766566512
GATS4Z,1.1788736532810966
GATS4c,1.3620386223921779
GATS4d,0.9450742982938911
GATS4i,1.1030010255690388
GATS4m,1.1751781502233019
GATS4p,1.0881676417946409
GATS4s,1.4352042348283496
GATS4v,1.100870546890157
GATS5Z,0.9033537891772768
GATS5c,0.8242226737294245
GATS5d,1.1198145982388554
GATS5i,0.9572199467489422
GATS5m,0.9038464157427516
GATS5p,0.9338087706463136
GATS5s,1.30482112423683
GATS5v,0.923135769236836
GATS6Z,0.9634250308733975
GATS6c,0.9334768900162355
GATS6d,1.0067095786174056
GATS6i,1.0738440706346666
GATS6m,0.9644654656980336
GATS6p,1.0446717400378598
GATS6s,1.343830889239492
GATS6v,1.0136350733624455
GATS7Z,1.2000918217433885
GATS7c,1.2265597574619902
GATS7d,0.8860071546505229
GATS7i,0.9058752732995937
GATS7m,1.1927242889734708
GATS7p,0.9520060208766712
GATS7s,1.8827551406234362
GATS7v,1.0153908505080829
GATS8Z,0.936222227949894
GATS8c,0.9493926816585404
GATS8d,1.2642441271036702
GATS8i,0.9359183589121766
GATS8m,0.9377110425619221
GATS8p,0.9743055081597082
GATS8s,0.6679679063318155
GATS8v,0.9668785662766453
MATS1Z,0.07237664223715756
MATS1c,-0.4645018700819334
MATS1d,0.4080807697417115
MATS1i,-0.11854627127205802
MATS1m,0.07163773925212433
MATS1p,-0.020438645143565134
MATS1s,-0.00996890373887578
MATS1v,0.022490905298842817
MATS2Z,0.07980675054622159
MATS2c,0.027335593553845728
MATS2d,-0.019548283307226553
MATS2i,0.0695143853457448
MATS2m,0.08057963225952124
MATS2p,0.09406770800792989
MATS2s,0.07781338833317794
MATS2v,0.08821449032719852
MATS3Z,-0.06337814976404592
MATS3c,0.033394782605394975
MATS3d,-0.1840696452694251
MATS3i,-0.10605520820407707
MATS3m,-0.06411849711552144
MATS3p,-0.10221871874408348
MATS3s,0.010882784990056913
MATS3v,-0.0836371603191489
MATS4Z,-0.18785504407443673
MATS4c,-0.17065312462939936
MATS4d,-0.02586681342872867
MATS4i,-0.08833552122466405
MATS4m,-0.18680631230222713
MATS4p,-0.12479438305592794
MATS4s,-0.15688660046040417
MATS4v,-0.14869141308658412
MATS5Z,0.09109023016650337
MATS5c,0.1755904544214122
MATS5d,-0.015547605943863502
MATS5i,0.010086211832635899
MATS5m,0.08967435565768068
MATS5p,0.04786292013966508
MATS5s,0.06937461076945317
MATS5v,0.05827434488708273
MATS6Z,0.0010799301622450193
MATS6c,0.02594875094804742
MATS6d,0.006321935344930739
MATS6i,-0.0760485683575396
MATS6m,0.0003412192634730273
MATS6p,-0.05235552564618408
MATS6s,-0.013098937569837894
MATS6v,-0.03315205118386113
MATS7Z,-0.1943633692458374
MATS7c,-0.12417674013464176
MATS7d,0.02556411667583931
MATS7i,0.11611728451884563
MATS7m,-0.19068697596428857
MATS7p,-0.00039487726116746127
MATS7s,-0.2668814848589318
MATS7v,-0.07152093152976931
MATS8Z,0.04038867982885715
MATS8c,0.031231183636792698
MATS8d,-0.16759841265243458
MATS8i,0.024397326594494468
MATS8m,0.03990388421782069
MATS8p,0.019141504306454043
MATS8s,0.11865034746874305
MATS8v,0.02861683664024955
MAXaaN,4.8091155675528245
MAXssO,5.363424417353786
MINaaN,4.8091155675528245
MINssO,5.363424417353786
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,38.36986399447642
SpAD_D,342.00272650042973
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,5.213283740174054
SssNH2,0
SsssAs,0
SsssCH,0.027046222810111153
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1223
TMWC10,140.00112289127398
TSRW10,81.98215513964242
VE1_Dt,5.328351092911485
VE2_Dt,0.18373624458315466
VE3_Dt,2.7377525638762026
VR1_Dt,186.40728413250116
VR2_Dt,6.427837383879351
VR3_Dt,6.292644716444458
Xc-3dv,0.9349658074091726
Xc-4dv,0.0
Xc-5dv,0.164898597334489
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.31030121992763315
Xch-6d,0.6985118944300625
Xch-7d,1.009758084193287
Xp-0dv,16.865259831377394
Xp-1dv,10.269191848801682
Xp-2dv,8.002034657864286
Xp-3dv,6.153543087101247
Xp-4dv,4.508363383351511
Xp-5dv,2.879348636144414
Xp-6dv,1.8353199543908396
Xp-7dv,1.164645616609673
Xpc-4d,5.1343056188196545
Xpc-5d,7.839989354319923
Xpc-6d,10.947206599589048
n3Ring,0
n4Ring,0
n5Ring,3
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,58
nFRing,2
nHBAcc,4
nHBDon,1
nHRing,2
nSpiro,0
naRing,3
piPC10,7.6917709715464735
AATS0dv,6.962962962962963
AATS0pe,6.082444444444442
AATS0se,7.523005999999998
AATS1dv,7.017241379310345
AATS1pe,6.404577586206897
AATS1se,7.655700068965514
AATS2dv,5.576923076923077
AATS2pe,6.276386538461538
AATS2se,7.62682923076923
AATS3dv,3.9242424242424243
AATS3pe,6.12284090909091
AATS3se,7.534958606060605
AATS4dv,3.5185185185185186
AATS4pe,6.1294407407407405
AATS4se,7.586946459259259
AATS5dv,3.7578125
AATS5pe,6.00357578125
AATS5se,7.488273374999999
AATS6dv,3.5739130434782607
AATS6pe,6.065774782608697
AATS6se,7.506531478260871
AATS7dv,3.225
AATS7pe,6.1348175000000005
AATS7se,7.606569933333333
AATS8dv,3.1140350877192984
AATS8pe,5.935132456140351
AATS8se,7.421545192982456
AATSC0Z,7.002743484224968
AATSC0c,0.015265903668080952
AATSC0d,0.623113854595336
AATSC0i,1.505271343865063
AATSC0m,33.478469126543196
AATSC0p,0.23283049259791663
AATSC0s,0.856586267337296
AATSC0v,51.518635822803404
AATSC1Z,0.5068350598363367
AATSC1c,-0.007091040802314249
AATSC1d,0.2542807814199896
AATSC1i,-0.17844430506788309
AATSC1m,2.3983218418475962
AATSC1p,-0.004758739816810287
AATSC1s,-0.008539226043128418
AATSC1v,1.1587007594162424
AATSC2Z,0.5588662023847206
AATSC2c,0.00041730253790282356
AATSC2d,-0.0121808061622876
AATSC2i,0.10463801224734312
AATSC2m,2.697682730828586
AATSC2p,0.021901830793043305
AATSC2s,0.06665387986118439
AATSC2v,4.5446902014611545
AATSC3Z,-0.4438209253024068
AATSC3c,0.0005098015342704652
AATSC3d,-0.11469634617782763
AATSC3i,-0.15964186577724016
AATSC3m,-2.1465891261223335
AATSC3p,-0.02379963463791285
AATSC3s,0.009322044172867203
AATSC3v,-4.3088724037356565
AATSC4Z,-1.315500685871056
AATSC4c,-0.0026051741612494236
AATSC4d,-0.01611796982167352
AATSC4i,-0.13296892874487085
AATSC4m,-6.253989359053498
