DLiP-ID,T007BR
ATS5d,250.0
ATS5i,13999.010843489135
ATS5m,5958.3857123728
ATS5p,105.71536469103701
ATS5s,406.63888888888886
ATS5v,15535.196842684638
ATS6Z,1672.0
ATS6d,235.0
ATS6i,12879.225771681186
ATS6m,6269.054937192
ATS6p,101.31034684418798
ATS6s,362.9444444444445
ATS6v,15424.755878875536
ATS7Z,1729.0
ATS7d,211.0
ATS7i,12885.96452526544
ATS7m,6518.06641656
ATS7p,94.27005581248999
ATS7s,555.1666666666667
ATS7v,14652.552024451657
ATS8Z,1243.0
ATS8d,178.0
ATS8i,10682.364897233289
ATS8m,4575.166804192
ATS8p,80.21148619049002
ATS8s,313.8888888888888
ATS8v,12067.473892024083
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,10
C2SP3,2
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.1111111111111111
GGI10,0.053770023466993166
JGI10,0.004136155651307167
JGT10,0.4549538474323508
Kier1,19.753086419753085
Kier2,8.79224376731302
Kier3,4.6464
MAXdO,12.131019384605693
MAXsF,13.684730578998256
MID_C,37.75253245079787
MID_N,4.078289157907344
MID_O,5.201870638072433
MID_X,3.5365915523883897
MID_h,12.816751348368168
MINdO,11.48604087931469
MINsF,13.684730578998256
MPC10,75
MWC01,27.0
MWC02,4.875197323201151
MWC03,5.726847747587197
MWC04,6.608000625296087
MWC05,7.47477218239787
MWC06,8.359134886757962
MWC07,9.230829038403499
MWC08,10.116136224757685
MWC09,10.989942910933607
MWC10,11.875531783476381
NaaCH,8
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.8718000000000004
SRW02,4.007333185232471
SRW03,0.0
SRW04,5.332718793265369
SRW05,2.3978952727983707
SRW06,6.849066282633458
SRW07,4.727387818712341
SRW08,8.454253391642363
SRW09,6.823286122355687
SRW10,10.104180975012746
SaaCH,11.946914921564993
SaaNH,3.010047081913063
SaaSe,0
SaaaC,1.6464673802895309
SaasC,-2.215325690206191
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.404426072898295
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.1850262188208616
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.324294279761497
VE1_D,4.938143703155026
VE2_A,0.17297177119045987
VE2_D,0.19752574812620105
VE3_A,2.3805396866344677
VE3_D,2.5132802238631773
VR1_A,184.1704280128909
VR1_D,144.11172867589394
VR2_A,7.366817120515637
VR2_D,5.764469147035758
VR3_A,6.132152299988802
VR3_D,5.886879624182935
WPath,1521
Xc-3d,1.7876339891189463
Xc-4d,0.0
Xc-5d,0.5384516905501369
Xc-6d,0.0
Xp-0d,17.97432701575866
Xp-1d,11.969234250586762
Xp-2d,10.961427934442227
Xp-3d,8.99458981500134
Xp-4d,7.643558150062054
Xp-5d,5.431603248347914
Xp-6d,3.5782306693928736
Xp-7d,2.4607646764421776
ZMIC0,76.89442006542073
ZMIC1,45.279872185141926
ZMIC2,30.656990927851677
ZMIC3,24.738978210304815
ZMIC4,24.29159998449243
ZMIC5,24.29159998449243
nAcid,1
nAtom,39
nBase,0
nRing,3
piPC1,3.6375861597263857
piPC2,4.259152536523347
piPC3,4.8432023497960515
piPC4,5.4158225858392495
piPC5,5.8256313078188295
piPC6,6.004619823266517
piPC7,6.305005662885715
piPC8,6.597129714378225
piPC9,6.421857250358557
AATS0Z,28.564102564102566
AATS0d,3.6923076923076925
AATS0i,165.56634463248682
AATS0m,115.20907239229597
AATS0p,1.5742279658432312
AATS0s,8.89102564102564
AATS0v,244.82988056978706
AATS1Z,28.195121951219512
AATS1d,4.414634146341464
AATS1i,147.662150532089
AATS1m,109.27124796757076
AATS1p,1.8945682925853662
AATS1s,4.031165311653116
AATS1v,289.78626019243256
AATS2Z,25.83582089552239
AATS2d,4.074626865671642
AATS2i,150.5635446527574
AATS2m,99.11729781105669
AATS2p,1.720814829326104
AATS2s,4.427446102819236
AATS2v,258.27557691512675
AATS3Z,21.4
AATS3d,3.2888888888888888
AATS3i,159.8036777494804
AATS3m,80.29677927624887
AATS3p,1.4074779402182334
AATS3s,4.175
AATS3v,209.05896340748353
AATS4Z,21.206521739130434
AATS4d,2.967391304347826
AATS4i,165.903921637601
AATS4m,79.33279144032359
AATS4p,1.2691489149743587
AATS4s,6.0271739130434785
AATS4v,189.73118087234405
AATS5Z,19.11764705882353
AATS5d,2.9411764705882355
AATS5i,164.69424521751924
AATS5m,70.09865543968
AATS5p,1.2437101728357296
AATS5s,4.783986928104575
AATS5v,182.7670216786428
AATS6Z,21.164556962025316
AATS6d,2.9746835443037973
AATS6i,163.0281743250783
AATS6m,79.3551257872405
AATS6p,1.2824094537238984
AATS6s,4.59423347398031
AATS6v,195.25007441614602
AATS7Z,22.454545454545453
AATS7d,2.74025974025974
AATS7i,167.3501886398109
AATS7m,84.65021320207792
AATS7p,1.2242864391232466
AATS7s,7.209956709956711
AATS7v,190.2928834344371
AATS8Z,19.123076923076923
AATS8d,2.7384615384615385
AATS8i,164.3440753420506
AATS8m,70.38718160295385
AATS8p,1.2340228644690772
AATS8s,4.829059829059828
AATS8v,185.6534444926782
AMID_C,1.5101012980319148
AMID_N,0.16313156631629375
AMID_O,0.2080748255228973
AMID_X,0.1414636620955356
AMID_h,0.5126700539347268
ATS0dv,440.0
ATS0pe,270.46979999999996
ATS0se,322.24620399999986
ATS1dv,391.0
ATS1pe,277.321
ATS1se,327.2046519999999
ATS2dv,562.0
ATS2pe,449.34870000000006
ATS2se,533.4510479999999
ATS3dv,588.0
ATS3pe,598.7692000000003
ATS3se,721.6550839999999
ATS4dv,634.0
ATS4pe,634.5626999999998
ATS4se,762.5316039999999
ATS5dv,505.0
ATS5pe,564.1617999999999
ATS5se,687.1788999999999
ATS6dv,541.0
ATS6pe,530.7782000000002
ATS6se,642.676788
ATS7dv,598.0
ATS7pe,543.6348999999999
ATS7se,652.564432
ATS8dv,378.0
ATS8pe,436.022
ATS8se,531.1954880000001
ATSC0Z,301.5897435897436
ATSC0c,1.1374422737755
ATSC0d,25.435897435897424
ATSC0i,102.31169280214736
ATSC0m,1453.2883924249795
ATSC0p,9.205854040439739
ATSC0s,151.9287749287749
ATSC0v,1779.9714719087985
ATSC1Z,-7.261012491781706
ATSC1c,-0.6765960694932407
ATSC1d,5.746877054569361
ATSC1i,2.099006171303105
ATSC1m,-29.45043182444268
ATSC1p,0.925631783971605
ATSC1s,-10.612444298341742
ATSC1v,154.37554128722292
ATSC2Z,-8.8593030900723
ATSC2c,0.1598196906801939
ATSC2d,-4.543721236028929
ATSC2i,-22.513472813217746
ATSC2m,-48.664622797562885
ATSC2p,-1.9912046140658903
ATSC2s,19.675067572503455
ATSC2v,-376.70223960020706
ATSC3Z,-19.36094674556212
ATSC3c,-0.012132157399967076
ATSC3d,-11.005917159763312
ATSC3i,-36.2440860280485
ATSC3m,-91.75311896667243
ATSC3p,-2.395283974179434
ATSC3s,-29.566403681788316
ATSC3v,-326.85475100881206
ATSC4Z,-39.41683103221565
ATSC4c,-0.11721970467035071
ATSC4d,-3.5154503616042065
ATSC4i,24.807871401191246
ATSC4m,-172.2863784741012
ATSC4p,-1.636726439167575
ATSC4s,53.754912703630666
ATSC4v,-548.5679774794688
ATSC5Z,-9.182774490466807
ATSC5c,0.1652830498593568
ATSC5d,1.0243261012491787
ATSC5i,1.010123363648979
ATSC5m,-62.06564494441941
ATSC5p,-0.1562967536663392
ATSC5s,-0.186646212287239
ATSC5v,-7.233040701269157
ATSC6Z,45.19000657462197
ATSC6c,-0.30489096817044814
ATSC6d,-6.062458908612756
ATSC6i,-19.39671488263869
ATSC6m,214.3927787356379
ATSC6p,-1.1714906813795323
ATSC6s,-35.1128460807948
ATSC6v,126.11307700382069
ATSC7Z,24.01512163050626
ATSC7c,0.3837871029360198
ATSC7d,2.2163050624589085
ATSC7i,16.269955644621835
ATSC7m,105.52619055184105
ATSC7p,0.5460822237626076
ATSC7s,55.85429907224782
ATSC7v,13.115081887576697
ATSC8Z,-41.03418803418804
ATSC8c,-0.24495270480047457
ATSC8d,4.222222222222223
ATSC8i,-13.16866244514662
ATSC8m,-175.83983925822514
ATSC8p,1.007174433408478
ATSC8s,-57.25237416904081
ATSC8v,208.59997283703495
AXp-0d,0.7189730806303465
AXp-1d,0.44330497224395415
AXp-2d,0.2884586298537428
AXp-3d,0.1798917963000268
AXp-4d,0.1194305960947196
AXp-5d,0.07650145420208329
AXp-6d,0.04969764818601213
AXp-7d,0.03195798281093737
GATS1Z,0.6607263573060829
GATS1c,1.5257596173888361
GATS1d,0.838070416994493
GATS1i,0.89405777574271
GATS1m,0.6555076063595967
GATS1p,0.8810199900561604
GATS1s,0.6030942546378601
GATS1v,0.799059848373945
GATS2Z,0.7306060244602527
GATS2c,0.7670859681248515
GATS2d,1.2263781896966786
GATS2i,1.0466640912542127
GATS2m,0.7330194161424596
GATS2p,1.102676813137105
GATS2s,0.5274030208997766
GATS2v,1.0385754952724713
GATS3Z,0.9372924105877686
GATS3c,0.9135652513048739
GATS3d,1.2532594086021511
GATS3i,1.1017083402655568
GATS3m,0.9373381475572982
GATS3p,1.0823796781218393
GATS3s,0.9263986035841757
GATS3v,1.046563210500337
GATS4Z,1.055926232598715
GATS4c,1.131553199194222
GATS4d,1.0473899894810665
GATS4i,0.8970703048820523
GATS4m,1.0483302267753927
GATS4p,1.0199835756486095
GATS4s,0.9385436531457676
GATS4v,1.065101757709615
GATS5Z,1.027262270322174
GATS5c,1.0295205246211165
GATS5d,0.9930384250474388
GATS5i,0.8285831163273196
GATS5m,1.0257662269307917
GATS5p,0.948038406552287
GATS5s,0.9604990960323597
GATS5v,0.98698264597196
GATS6Z,0.9162837199391303
GATS6c,1.3362200981512522
GATS6d,1.153557574520213
GATS6i,0.9527187387396007
GATS6m,0.9105213375444251
GATS6p,1.0095812367128334
GATS6s,1.093427273286171
GATS6v,0.9310116332215976
GATS7Z,1.0219008164085532
GATS7c,1.1066127642718897
GATS7d,0.9118925429409305
GATS7i,0.9613158729987006
GATS7m,1.0211689307709833
GATS7p,0.933872870013402
GATS7s,1.1450621733733481
GATS7v,0.9210707919932312
GATS8Z,1.1301139262030266
GATS8c,1.2450446449167274
GATS8d,0.861895161290323
GATS8i,0.9577631431072097
GATS8m,1.114583643565992
GATS8p,0.9092495829618897
GATS8s,1.3745757308680406
GATS8v,0.9154788242537107
MATS1Z,-0.022901364874896784
MATS1c,-0.5658233371617456
MATS1d,0.21491443745082617
MATS1i,0.019515028748694346
MATS1m,-0.019276164001583853
MATS1p,0.09564338193436232
MATS1s,-0.06644405639023299
MATS1v,0.08249852842900736
MATS2Z,-0.017099082042601105
MATS2c,0.08178821407629518
MATS2d,-0.10398110255175742
MATS2i,-0.12808758168559398
MATS2m,-0.01949177371934872
MATS2p,-0.12590460343232787
MATS2s,0.07538171277242152
MATS2v,-0.12318986086956511
MATS3Z,-0.02781839823159325
MATS3c,-0.004622008806831142
MATS3d,-0.18750000000000006
MATS3i,-0.15350904849679814
MATS3m,-0.02735842733816543
MATS3p,-0.1127496030516586
MATS3s,-0.08432970165207124
MATS3v,-0.07957265664409613
MATS4Z,-0.05540410163902915
MATS4c,-0.043686579009845135
MATS4d,-0.0585882713884993
MATS4i,0.10278766756633671
MATS4m,-0.050254611149090224
MATS4p,-0.07536831271938361
MATS4s,0.1499874441611681
MATS4v,-0.13064542019803269
MATS5Z,-0.013970213149024288
MATS5c,0.06667217672215572
MATS5d,0.018477229601518045
MATS5i,0.004529964798324406
MATS5m,-0.019594994645968724
MATS5p,-0.007789894108441176
MATS5s,-0.0005636698769743645
MATS5v,-0.001864462051954337
MATS6Z,0.07397131720042446
MATS6c,-0.13232829294593892
MATS6d,-0.11766282155982041
MATS6i,-0.09359236623708585
MATS6m,0.07282757751206004
MATS6p,-0.06282207388536068
MATS6s,-0.1140941855516229
MATS6v,0.0349771642145906
MATS7Z,0.04033128918352523
MATS7c,0.17089717869182647
MATS7d,0.04413227901131128
MATS7i,0.08054433133927556
MATS7m,0.03677751130339602
MATS7p,0.030044697551394477
MATS7s,0.1862046199154982
MATS7v,0.003731915886306156
MATS8Z,-0.08163577622853257
MATS8c,-0.12921237962472013
MATS8d,0.09959677419354847
MATS8i,-0.07722672991412119
MATS8m,-0.07259667393261818
MATS8p,0.06564351958986966
MATS8s,-0.22610216213175308
MATS8v,0.07031572453686712
MAXsOH,9.366114260519023
MINsOH,9.366114260519023
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,31.556511755962585
SpAD_D,250.11579968699476
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.026628637566137092
SssNH2,0
SsssAs,0
SsssCH,-1.328044217687075
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,650
TMWC10,127.25639272281143
TSRW10,73.6961218416528
VE1_Dt,4.912136123925086
VE2_Dt,0.19648544495700343
VE3_Dt,2.507999634860477
VR1_Dt,144.81074384296886
VR2_Dt,5.792429753718754
VR3_Dt,5.891718406883808
Xc-3dv,0.62380632162479
Xc-4dv,0.0
Xc-5dv,0.10896501105176583
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.355498860309242
Xch-7d,0.5622508833134849
Xp-0dv,12.92289832633932
Xp-1dv,7.497688985705376
Xp-2dv,5.524565392313532
Xp-3dv,3.892202353572904
Xp-4dv,2.66564054290595
Xp-5dv,1.680297320668944
Xp-6dv,0.9123589338012277
Xp-7dv,0.5311588967164892
Xpc-4d,4.211192225240393
Xpc-5d,6.845245109864556
Xpc-6d,9.610679610544896
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,41
nFRing,1
nHBAcc,2
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,6.6821428622136425
AATS0dv,11.282051282051283
AATS0pe,6.935123076923076
AATS0se,8.262723179487176
AATS1dv,9.536585365853659
AATS1pe,6.763926829268294
AATS1se,7.980601268292681
AATS2dv,8.388059701492537
AATS2pe,6.706697014925374
AATS2se,7.961955940298506
AATS3dv,6.533333333333333
AATS3pe,6.652991111111114
AATS3se,8.01838982222222
AATS4dv,6.891304347826087
AATS4pe,6.897420652173912
AATS4se,8.288386999999998
AATS5dv,5.9411764705882355
AATS5pe,6.637197647058822
AATS5se,8.084457647058823
AATS6dv,6.848101265822785
AATS6pe,6.718711392405066
AATS6se,8.135149215189873
AATS7dv,7.766233766233766
AATS7pe,7.060193506493505
AATS7se,8.474862753246754
AATS8dv,5.815384615384615
AATS8pe,6.708030769230769
AATS8se,8.172238276923078
AATSC0Z,7.733070348454964
AATSC0c,0.029165186507064098
AATSC0d,0.6522024983563443
AATSC0i,2.623376738516599
AATSC0m,37.26380493397384
AATSC0p,0.23604753949845486
AATSC0s,3.895609613558331
AATSC0v,45.64029415150765
AATSC1Z,-0.17709786565321234
AATSC1c,-0.016502343158371725
AATSC1d,0.1401677330382771
AATSC1i,0.05119527247080744
AATSC1m,-0.7183032152303093
AATSC1p,0.022576384974917194
AATSC1s,-0.25884010483760345
AATSC1v,3.7652571045664125
AATSC2Z,-0.13222840432943733
AATSC2c,0.002385368517614834
AATSC2d,-0.06781673486610343
AATSC2i,-0.336021982286832
AATSC2m,-0.7263376536949684
AATSC2p,-0.029719471851729705
AATSC2s,0.2936577249627381
AATSC2v,-5.622421486570254
AATSC3Z,-0.21512163050624578
AATSC3c,-0.00013480174888852307
AATSC3d,-0.12228796844181458
AATSC3i,-0.4027120669783167
AATSC3m,-1.0194790996296936
AATSC3p,-0.02661426637977149
AATSC3s,-0.3285155964643146
AATSC3v,-3.6317194556534673
AATSC4Z,-0.4284438155675614
AATSC4c,-0.001274127224677725
AATSC4d,-0.038211416973958766
AATSC4i,0.26965077609990484
AATSC4m,-1.8726780268924046
AATSC4p,-0.0177905047735606
AATSC4s,0.5842925293872898
AATSC4v,-5.962695407385531
AATSC5Z,-0.10803264106431537
