DLiP-ID,T007AD
SIC2,0.9
SIC3,0.95
SIC4,0.9625
SIC5,0.9625
SaaN,0
SaaO,0
SaaS,0
Sare,32.592
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,3.2036845054379777
SsCl,0
SsLi,0
SsOH,8.97267719356261
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,58.87473365551193
TIC1,122.88058452123624
TIC2,144.0
TIC3,152.0
TIC4,154.0
TIC5,154.0
Vabc,253.4711173077484
WPol,25
apol,37.166308999999984
bpol,17.025691
nRot,6
ABCGG,12.810438124470009
ATS0Z,2024.0
ATS0d,101.0
ATS0i,5229.312888665237
ATS0m,9545.291602000001
ATS0p,53.542083763037
ATS0s,255.55049725651577
ATS0v,7541.891415624222
ATS1Z,1007.0
ATS1d,121.0
ATS1i,4788.32373881115
ATS1m,3987.4504139999995
ATS1p,59.396843675999996
ATS1s,125.96913580246914
ATS1v,8753.983857471088
ATS2Z,1536.0
ATS2d,175.0
ATS2i,7911.108926628248
ATS2m,6092.025863
ATS2p,86.445594144547
ATS2s,229.65432098765433
ATS2v,12163.242749120585
ATS3Z,1833.0
ATS3d,194.0
ATS3i,11441.252972486991
ATS3m,7150.613326
ATS3p,99.62133991648999
ATS3s,269.070987654321
ATS3v,13533.544764169552
ATS4Z,1898.0
ATS4d,175.0
ATS4i,11537.182707420037
ATS4m,7405.778431999999
ATS4p,88.56945049333899
ATS4s,279.65277777777777
ATS4v,12367.72383032863
ATS5Z,1415.0
ATS5d,155.0
ATS5i,10239.98330841629
ATS5m,5269.063617
ATS5p,76.507360677339
ATS5s,341.2716049382716
ATS5v,10958.348322920123
ATS6Z,1490.0
ATS6d,138.0
ATS6i,8905.523848643394
ATS6m,5785.508215
ATS6p,75.106039383943
ATS6s,331.3811728395062
ATS6v,10582.74246394413
ATS7Z,1642.0
ATS7d,116.0
ATS7i,8548.288871293493
ATS7m,6516.445462
ATS7p,69.592121725943
ATS7s,273.84722222222223
ATS7v,9502.076890122918
ATS8Z,847.0
ATS8d,86.0
ATS8i,7193.16822038309
ATS8m,3027.8100249999998
ATS8p,52.950617564489995
ATS8s,158.1358024691358
ATS8v,6636.865213615922
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,5
C2SP3,3
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.25
GGI10,0.024691358024691357
JGI10,0.012345679012345678
JGT10,0.5263434393099624
Kier1,17.05263157894737
Kier2,8.3232
Kier3,5.877551020408164
MAXdO,11.904422241118668
MID_C,24.540381120046014
MID_N,3.7029021918136356
MID_O,6.880809987307941
MID_X,1.7674682895076113
MID_h,12.351180468629188
MINdO,10.645321957116689
MPC10,14
MWC01,19.0
MWC02,4.48863636973214
MWC03,5.272999558563747
MWC04,6.1070228877422545
MWC05,6.918695219020472
MWC06,7.755767170102998
MWC07,8.577911926450943
MWC08,9.416622566214981
MWC09,10.243987381791934
MWC10,11.083695189061785
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,0.8975999999999991
SRW02,3.6635616461296463
SRW03,0.0
SRW04,4.9344739331306915
SRW05,0.0
SRW06,6.3818160174060985
SRW07,0.0
SRW08,7.912423121473705
SRW09,0.0
SRW10,9.487896348128954
SaaCH,6.640867607437322
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.8883009469219791
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.340379976064499
SdssS,0
SsCH3,0
SsNH2,4.954864358558442
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.352685185185185
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.7441307405924635
VE1_D,4.293822288768233
VE2_A,0.19705951266276123
VE2_D,0.22599064677727543
VE3_A,1.9620433642080888
VE3_D,2.0990311988313035
VR1_A,129.28517273460386
VR1_D,90.37413928253905
VR2_A,6.804482775505466
VR2_D,4.756533646449424
VR3_A,5.5038744920151155
VR3_D,5.145812042761314
WPath,754
Xc-3d,1.515735574742849
Xc-4d,0.0
Xc-5d,0.35911675639654195
Xc-6d,0.0
Xp-0d,14.41384908344359
Xp-1d,8.913591357920934
Xp-2d,8.113875400227135
Xp-3d,5.640878228993745
Xp-4d,4.113398959833486
Xp-5d,3.0095287749421575
Xp-6d,1.7859094015685475
Xp-7d,0.9860640177617017
ZMIC0,66.03806521909614
ZMIC1,37.799057345918825
ZMIC2,28.5
ZMIC3,26.6875
ZMIC4,26.5
ZMIC5,26.5
nAcid,1
nAtom,32
nBase,0
nRing,1
piPC1,3.258096538021482
piPC2,3.7256934272366524
piPC3,4.056123349401903
piPC4,4.429327595291846
piPC5,4.796306941167215
piPC6,4.677490847567717
piPC7,4.734277745375707
piPC8,4.6172840163716025
piPC9,4.646492055549998
AATS0Z,63.25
AATS0d,3.15625
AATS0i,163.41602777078865
AATS0m,298.29036256250004
AATS0p,1.6731901175949062
AATS0s,7.985953039266118
AATS0v,235.68410673825693
AATS1Z,31.46875
AATS1d,3.78125
AATS1i,149.63511683784844
AATS1m,124.60782543749998
AATS1p,1.8561513648749999
AATS1s,3.9365354938271606
AATS1v,273.5619955459715
AATS2Z,29.53846153846154
AATS2d,3.3653846153846154
AATS2i,152.1367101274663
AATS2m,117.15434351923076
AATS2p,1.6624152720105192
AATS2s,4.416429249762583
AATS2v,233.9085144061651
AATS3Z,25.816901408450704
AATS3d,2.732394366197183
AATS3i,161.14440806319706
AATS3m,100.71286374647887
AATS3p,1.403117463612535
AATS3s,3.7897322204833945
AATS3v,190.61330653759933
AATS4Z,27.114285714285714
AATS4d,2.5
AATS4i,164.81689582028625
AATS4m,105.79683474285713
AATS4p,1.265277864190557
AATS4s,3.9950396825396823
AATS4v,176.68176900469473
AATS5Z,22.822580645161292
AATS5d,2.5
AATS5i,165.16102110348854
AATS5m,84.9848970483871
AATS5p,1.2339896883441772
AATS5s,5.504380724810832
AATS5v,176.74755359548584
AATS6Z,27.09090909090909
AATS6d,2.5090909090909093
AATS6i,161.91861542987988
AATS6m,105.19105845454546
AATS6p,1.3655643524353274
AATS6s,6.025112233445567
AATS6v,192.41349934443875
AATS7Z,30.9811320754717
AATS7d,2.188679245283019
AATS7i,161.28846926968853
AATS7m,122.95180116981132
AATS7p,1.3130589004894906
AATS7s,5.1669287211740045
AATS7v,179.28446962496074
AATS8Z,19.25
AATS8d,1.9545454545454546
AATS8i,163.4810959177975
AATS8m,68.81386420454545
AATS8p,1.2034231264656816
AATS8s,3.593995510662177
AATS8v,150.83784576399822
AMID_C,1.2915990063182112
AMID_N,0.1948895890428229
AMID_O,0.362147894068839
AMID_X,0.09302464681619006
AMID_h,0.6500621299278521
ATS0dv,291.06721536351165
ATS0pe,215.5292
ATS0se,261.99832100000003
ATS1dv,246.03703703703704
ATS1pe,215.54149999999998
ATS1se,256.599158
ATS2dv,316.8148148148148
ATS2pe,342.2088
ATS2se,412.21661600000004
ATS3dv,295.5925925925926
ATS3pe,463.46220000000005
ATS3se,568.669794
ATS4dv,289.3703703703704
ATS4pe,465.2543
ATS4se,572.147094
ATS5dv,352.77777777777777
ATS5pe,418.43240000000003
ATS5se,512.950018
ATS6dv,312.55555555555554
ATS6pe,372.43640000000005
ATS6se,453.86596000000003
ATS7dv,217.37037037037038
ATS7pe,353.989
ATS7se,435.09823400000005
ATS8dv,127.03703703703704
ATS8pe,275.14149999999995
ATS8se,344.944978
ATSC0Z,1162.875
ATSC0c,1.134699196790097
ATSC0d,19.71875
ATSC0i,46.22790858278444
ATSC0m,6159.675273875
ATSC0p,10.375379866678218
ATSC0s,110.0650264703361
ATSC0v,1601.5884025831267
ATSC1Z,-20.125
ATSC1c,-0.8288771262613541
ATSC1d,3.0625
ATSC1i,5.814862942542188
ATSC1m,-89.11347975000001
ATSC1p,0.985343293875
ATSC1s,-11.915316358024693
ATSC1v,132.88678151043476
ATSC2Z,56.265625
ATSC2c,0.3457486164307252
ATSC2d,-5.29296875
ATSC2i,-8.874087695246054
ATSC2m,271.75641495312505
ATSC2p,-0.6798275477796676
ATSC2s,33.659094288515945
ATSC2v,-258.71406302014213
ATSC3Z,-43.25390625
ATSC3c,0.20375206330245588
ATSC3d,-1.7822265625
ATSC3i,0.21856049924805632
ATSC3m,-197.99407409765638
ATSC3p,1.5607515152212952
ATSC3s,-32.719683109487534
ATSC3v,-19.651784583865606
ATSC4Z,-88.1640625
ATSC4c,-0.511605875514821
ATSC4d,0.583984375
ATSC4i,-7.45783309591003
ATSC4m,-458.1435080390622
ATSC4p,-1.5387477383182282
ATSC4s,-57.739904333043995
ATSC4v,-94.6918145339462
ATSC5Z,-163.9453125
ATSC5c,0.16566422855871624
ATSC5d,-1.486328125
ATSC5i,9.869133479011488
ATSC5m,-839.5270878828123
ATSC5p,0.7128067113189198
ATSC5s,6.519536440918639
ATSC5v,104.41166404373357
ATSC6Z,-54.25390625
ATSC6c,0.13447893996991098
ATSC6d,-5.9853515625
ATSC6i,7.178022619965568
ATSC6m,-281.2142241601563
ATSC6p,0.6771148753559986
ATSC6s,37.65547898113319
ATSC6v,-77.18706346605325
ATSC7Z,-59.82421875
ATSC7c,-0.05840459817106186
ATSC7d,-1.1904296875
ATSC7i,-7.712221807315018
ATSC7m,-355.9114601679686
ATSC7p,-3.299604605356237
ATSC7s,1.3143035093289193
ATSC7v,-432.08238945982475
ATSC8Z,-282.578125
ATSC8c,-0.03660305984252785
ATSC8d,-1.45703125
ATSC8i,-12.040765183029263
ATSC8m,-1453.7600863281248
ATSC8p,-2.1196515283175508
ATSC8s,-13.383157110018004
ATSC8v,-263.20695580685253
AXp-0d,0.7586236359707152
AXp-1d,0.46913638725899653
AXp-2d,0.32455501600908543
AXp-3d,0.2014599367497766
AXp-4d,0.13269028902688665
AXp-5d,0.0885155522041811
AXp-6d,0.05953031338561825
AXp-7d,0.03792553914468084
GATS1Z,0.5173331183489197
GATS1c,1.7256043655900761
GATS1d,1.0562599049128367
GATS1i,1.1161620014890772
GATS1m,0.5116303122987006
GATS1p,0.7251073559010515
GATS1s,0.7161140897528429
GATS1v,0.8040294649614909
GATS2Z,0.5933983247752999
GATS2c,0.6423636928120722
GATS2d,1.3604778739485555
GATS2i,1.2509897665143777
GATS2m,0.5932769292518448
GATS2p,0.9088537082954435
GATS2s,0.4530593531650478
GATS2v,1.0399328107434134
GATS3Z,0.9048724249182074
GATS3c,0.8145318954498079
GATS3d,1.084975781790585
GATS3i,0.997627178316006
GATS3m,0.9013025213525243
GATS3p,0.8718462471932876
GATS3s,1.0314093737291559
GATS3v,0.9677312499729682
GATS4Z,1.1162113603906574
GATS4c,1.280920729483995
GATS4d,0.9769526828163912
GATS4i,1.0245404625437835
GATS4m,1.1174208006084423
GATS4p,1.059075476271148
GATS4s,1.3048793689132414
GATS4v,0.9775363501500701
GATS5Z,0.8831559711920886
GATS5c,1.0769892433475305
GATS5d,1.1030110935023771
GATS5i,0.8247039311411324
GATS5m,0.8737215881859838
GATS5p,0.8457574865607951
GATS5s,1.2069189890128538
GATS5v,0.8793945393501948
GATS6Z,0.891591177821426
GATS6c,1.0613641866322703
GATS6d,1.200518657253998
GATS6i,0.8899889253171331
GATS6m,0.8879804727780108
GATS6p,0.8817616854778045
GATS6s,0.9519264494619051
GATS6v,0.9482093146263655
GATS7Z,1.379932219065061
GATS7c,1.0306777975412331
GATS7d,0.8602099093980803
GATS7i,0.9950566229397159
GATS7m,1.3937881375714047
GATS7p,1.3244958683151582
GATS7s,1.130894209689001
GATS7v,1.159834678926916
GATS8Z,1.5134511838800777
GATS8c,0.822523774001732
GATS8d,0.8039187436968737
GATS8i,1.0328518725364138
GATS8m,1.5166341205900422
GATS8p,1.2838545850831538
GATS8s,0.9898255301996751
GATS8v,1.19139198697096
MATS1Z,-0.01730624529721595
MATS1c,-0.7304818128065392
MATS1d,0.15530903328050713
MATS1i,0.1257868486983138
MATS1m,-0.014467236629819849
MATS1p,0.09496937042657577
MATS1s,-0.10825706166741368
MATS1v,0.08297186798812224
MATS2Z,0.02977534128775664
MATS2c,0.18751082220193357
MATS2d,-0.1651834694623918
MATS2i,-0.1181316051417053
MATS2m,0.02714992421816821
MATS2p,-0.0403219370658279
MATS2s,0.18819137610906206
MATS2v,-0.09940672266948308
MATS3Z,-0.016764242338909302
MATS3c,0.08093062559170525
MATS3d,-0.04073569786388697
MATS3i,0.0021308803172387196
MATS3m,-0.014487251652529875
MATS3p,0.06779870343775302
MATS3s,-0.1339835177671325
MATS3v,-0.0055302238286519
MATS4Z,-0.03465855868306691
MATS4c,-0.20611363110639624
MATS4d,0.013538600860312429
MATS4i,-0.07374971600658814
MATS4m,-0.0340013106104331
MATS4p,-0.06779776225601596
MATS4s,-0.2398162766542091
MATS4v,-0.027027972089628653
MATS5Z,-0.07276528903267415
MATS5c,0.07535399532111069
MATS5d,-0.038903941516282396
MATS5i,0.11018768678721512
MATS5m,-0.0703453159716322
MATS5p,0.03545896563090124
MATS5s,0.030572127604306824
MATS5v,0.03364777806359604
MATS6Z,-0.0271447138264294
MATS6c,0.06895421497385947
MATS6d,-0.1766027949863132
MATS6i,0.09034161825251663
MATS6m,-0.026562365924745184
MATS6p,0.0379704406705064
MATS6s,0.19905180618114265
MATS6v,-0.028040186138506222
MATS7Z,-0.031061191459845573
MATS7c,-0.031077094010880643
MATS7d,-0.03645007923930269
MATS7i,-0.10072780601466114
MATS7m,-0.03488656928491574
MATS7p,-0.192013605954361
MATS7s,0.007209753787643717
MATS7v,-0.1628882507128555
MATS8Z,-0.17672696002267108
MATS8c,-0.02346032079119068
MATS8d,-0.05373865437256879
MATS8i,-0.18942929502056952
MATS8m,-0.17164542216508186
MATS8p,-0.1485791139867785
MATS8s,-0.08843140716951907
MATS8v,-0.11952087082927443
MAXsBr,3.2036845054379777
MAXsOH,8.97267719356261
MINsBr,3.2036845054379777
MINsOH,8.97267719356261
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,22.608188879365517
SpAD_D,164.15336515506965
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.14477651014109338
SssNH2,0
SsssAs,0
SsssCH,-1.146198034769464
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,266
TMWC10,107.86533826868126
TSRW10,51.3801710662691
VE1_Dt,4.285690476174511
VE2_Dt,0.22556265664076375
VE3_Dt,2.097135563204524
VR1_Dt,90.2044018959408
VR2_Dt,4.747600099786358
VR3_Dt,5.143932113557322
Xc-3dv,0.6447732083323786
Xc-4dv,0.0
Xc-5dv,0.11519699992571514
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.08333333333333333
Xch-7d,0.13144585576580214
Xp-0dv,11.51423465652633
Xp-1dv,6.273137093538941
Xp-2dv,4.70345639283151
Xp-3dv,3.092817280109362
Xp-4dv,1.8901652215303657
Xp-5dv,1.074955545044834
Xp-6dv,0.5509330132662622
Xp-7dv,0.2578857451353239
Xpc-4d,2.7765781158164575
Xpc-5d,3.484007330433578
Xpc-6d,4.811924468333748
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,32
nFRing,0
nHBAcc,3
nHBDon,3
nHRing,0
nSpiro,0
naRing,1
piPC10,4.675745138657694
AATS0dv,9.095850480109739
AATS0pe,6.7352875
AATS0se,8.187447531250001
AATS1dv,7.688657407407407
AATS1pe,6.7356718749999995
AATS1se,8.0187236875
AATS2dv,6.092592592592592
AATS2pe,6.580938461538461
AATS2se,7.927242615384616
AATS3dv,4.163275952008346
AATS3pe,6.527636619718311
AATS3se,8.00943371830986
AATS4dv,4.133862433862434
AATS4pe,6.64649
AATS4se,8.173529914285714
AATS5dv,5.689964157706093
AATS5pe,6.7489096774193555
AATS5se,8.273387387096774
AATS6dv,5.682828282828282
AATS6pe,6.77157090909091
AATS6se,8.252108363636363
AATS7dv,4.101327742837177
AATS7pe,6.6790377358490565
AATS7se,8.209400641509434
AATS8dv,2.887205387205387
AATS8pe,6.253215909090908
AATS8se,7.839658590909091
AATSC0Z,36.33984375
AATSC0c,0.03545934989969053
AATSC0d,0.6162109375
AATSC0i,1.4446221432120137
AATSC0m,192.48985230859375
AATSC0p,0.3242306208336943
AATSC0s,3.439532077198003
AATSC0v,50.04963758072271
AATSC1Z,-0.62890625
AATSC1c,-0.025902410195667316
AATSC1d,0.095703125
AATSC1i,0.18171446695444338
AATSC1m,-2.7847962421875003
AATSC1p,0.03079197793359375
AATSC1s,-0.37235363618827166
AATSC1v,4.152711922201086
AATSC2Z,1.08203125
AATSC2c,0.006649011854437023
AATSC2d,-0.10178786057692307
AATSC2i,-0.17065553260088565
AATSC2m,5.226084902944712
AATSC2p,-0.013073606688070531
AATSC2s,0.6472902747791528
AATSC2v,-4.975270442695041
AATSC3Z,-0.6092099471830986
AATSC3c,0.0028697473704571252
AATSC3d,-0.025101782570422535
AATSC3i,0.0030783168908176946
AATSC3m,-2.7886489309529066
AATSC3p,0.021982415707342187
AATSC3s,-0.46084060717588077
AATSC3v,-0.27678569836430433
AATSC4Z,-1.2594866071428572
AATSC4c,-0.0073086553644974425
AATSC4d,0.008342633928571428
AATSC4i,-0.10654047279871472
AATSC4m,-6.544907257700889
AATSC4p,-0.02198211054740326
AATSC4s,-0.8248557761863428
AATSC4v,-1.3527402076278028
AATSC5Z,-2.6442792338709675
AATSC5c,0.002672003686430907
AATSC5d,-0.023973034274193547
AATSC5i,0.1591795722421208
AATSC5m,-13.540759481980844
AATSC5p,0.011496882440627739
AATSC5s,0.10515381356320386
AATSC5v,1.6840590974795737
AATSC6Z,-0.9864346590909091
AATSC6c,0.002445071635816563
AATSC6d,-0.10882457386363636
AATSC6i,0.13050950218119214
