DLiP-ID,T001AX
Mp,0.6625584451786084
Mv,0.6166792640215616
SZ,41.666666666666664
Si,66.156512792732
Sm,39.427441511947386
Sp,38.428389820359286
Sv,35.76739731325057
nB,0
nC,18
nF,0
nH,27
nI,0
nN,5
nO,6
nP,0
nS,2
nX,0
ABC,23.30193321309025
AMW,8.15759095834484
IC0,1.8483253388665548
IC1,3.9063697985773875
IC2,5.1897932795730295
IC3,5.465655348538545
IC4,5.465655348538545
IC5,5.465655348538545
MID,61.29283250247699
Mpe,0.9891818796484111
Mse,1.024813521862521
NdO,5
NdS,0
NsF,0
NsI,0
NtN,0
SMR,116.67490000000006
SdO,59.18627026598907
SdS,0
Spe,57.372549019607845
SsF,0
SsI,0
Sse,59.43918426802622
StN,0
fMF,0.25862068965517243
nBr,0
nCl,0
AMID,1.9771881452411932
BIC0,0.30469801561342896
BIC1,0.6439684079690554
BIC2,0.8555418683485243
BIC3,0.9010179667546372
BIC4,0.9010179667546372
BIC5,0.9010179667546372
CIC0,4.0096556562610175
CIC1,1.9516111965501843
CIC2,0.6681877155545424
CIC3,0.39232564658902724
CIC4,0.39232564658902724
CIC5,0.39232564658902724
GGI1,8.0
GGI2,3.333333333333335
GGI3,2.0347222222222223
GGI4,1.7261111111111114
GGI5,0.753611111111111
GGI6,0.7013151927437642
GGI7,0.45921910430838997
GGI8,0.3202554169816074
GGI9,0.2547067901234568
JGI1,0.25
JGI2,0.07751937984496127
JGI3,0.050868055555555555
JGI4,0.04315277777777778
JGI5,0.018840277777777775
JGI6,0.019480977576215665
JGI7,0.01312054583738257
JGI8,0.009704709605503254
JGI9,0.009096671075837746
MIC0,21.868542717054503
MIC1,42.15209569292219
MIC2,46.640657571161185
MIC3,46.91872653667843
MIC4,46.91872653667843
MIC5,46.91872653667843
MPC2,43
MPC3,48
MPC4,56
MPC5,60
MPC6,55
MPC7,56
MPC8,58
MPC9,59
Mare,1.0043448275862068
NaaN,0
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,1
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.13700725138370293
RPCG,0.0922120423035746
SIC0,0.3155225905314333
SIC1,0.6668457616756602
SIC2,0.8859354927729685
SIC3,0.9330271561284771
SIC4,0.9330271561284771
SIC5,0.9330271561284771
SaaN,0
SaaO,0
SaaS,1.1863909846983889
Sare,58.251999999999995
SdNH,0
SdSe,0
SddC,0
SdsN,4.1698070554143225
SsBr,0
SsCl,0
SsLi,0
SsOH,9.205538150897866
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,107.20286965426018
TIC1,226.56944831748848
TIC2,301.0080102152357
TIC3,317.0080102152356
TIC4,317.0080102152356
TIC5,317.0080102152356
Vabc,413.19573504140965
WPol,40
apol,64.17541099999998
bpol,42.22658900000004
nRot,11
ABCGG,19.01914530364578
ATS0Z,1816.0
ATS0d,177.0
ATS0i,9658.642657539924
ATS0m,7196.663357
ATS0p,88.93397243092299
ATS0s,390.96956447187927
ATS0v,12171.035332550899
ATS1Z,1862.0
ATS1d,217.0
ATS1i,8861.779878416153
ATS1m,7127.329654000001
ATS1p,108.48329200600001
ATS1s,175.99382716049382
ATS1v,15167.79819184871
ATS2Z,2557.0
ATS2d,327.0
ATS2i,16618.962208996032
ATS2m,9529.288469000001
ATS2p,160.761311863339
ATS2s,413.7577160493827
ATS2v,21474.16061932551
ATS3Z,2642.0
ATS3d,362.0
ATS3i,23195.12188726793
ATS3m,9439.483122
ATS3p,174.10590421346996
ATS3s,444.1466049382716
ATS3v,22622.033435444497
ATS4Z,2635.0
ATS4d,339.0
ATS4i,21926.752422657715
ATS4m,9405.399207000002
ATS4p,163.103047653527
ATS4s,494.8904320987654
ATS4v,21927.005978986763
ATS5Z,2530.0
ATS5d,319.0
ATS5i,20602.488461344605
ATS5m,9146.364472
ATS5p,153.56376743182906
ATS5s,614.0061728395065
ATS5v,21165.120787614444
ATS6Z,2326.0
ATS6d,301.0
ATS6i,19415.5516953375
ATS6m,8376.626030999998
ATS6p,149.72413053813096
ATS6s,484.71913580246905
ATS6v,20241.135615170795
ATS7Z,2481.0
ATS7d,289.0
ATS7i,19241.763987107657
ATS7m,9120.795648999998
ATS7p,148.27695788092308
ATS7s,455.5526406035665
ATS7v,19435.5685727456
ATS8Z,2242.0
ATS8d,271.0
ATS8i,18450.96307417191
ATS8m,8206.095965999999
ATS8p,140.5589818003191
ATS8s,402.5771604938271
ATS8v,18151.837242615486
C1SP1,0
C1SP2,3
C1SP3,5
C2SP1,0
C2SP2,4
C2SP3,5
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.5555555555555556
GGI10,0.16049586776859504
JGI10,0.006978081207330219
JGT10,0.49876147625834183
Kier1,27.24609375
Kier2,13.645213628988643
Kier3,10.208333333333334
MAXdO,12.303063397868488
MID_C,36.61361010332158
MID_N,10.045696094851639
MID_O,10.397138602850513
MID_X,0.0
MID_h,24.67922239915541
MINdO,11.300080307261581
MPC10,63
MWC01,32.0
MWC02,5.017279836814924
MWC03,5.808142489980444
MWC04,6.658011045870748
MWC05,7.467942332285852
MWC06,8.31752199628717
MWC07,9.13550906135318
MWC08,9.983914801648742
MWC09,10.80655119082919
MWC10,11.654051693674734
NaaCH,2
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,4
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,-0.3413999999999984
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.4680601411351315
SRW05,2.3978952727983707
SRW06,6.920671504248683
SRW07,4.59511985013459
SRW08,8.441822884391462
SRW09,6.580639137284949
SRW10,9.999024979245192
SaaCH,3.304477627859888
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.1588516022417543
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.5985394024167727
SdssS,0
SsCH3,1.6625430578640628
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,10.21758136149764
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.5263441025602695
VE1_D,5.48410546229652
VE2_A,0.14601110008258933
VE2_D,0.17690662781601676
VE3_A,2.641316683775408
VE3_D,2.8332561039137185
VR1_A,361.589356890923
VR1_D,190.78999795484816
VR2_A,11.664172802933
VR2_D,6.154516063059618
VR3_A,7.02191130619908
VR3_D,6.382575447510932
WPath,3375
Xc-3d,2.8063991333074063
Xc-4d,0.25
Xc-5d,0.2845177968644246
Xc-6d,0.0
Xp-0d,22.855160383312136
Xp-1d,14.697509081828485
Xp-2d,13.538486130846495
Xp-3d,9.591847327347706
Xp-4d,7.39497543883901
Xp-5d,5.296308788800829
Xp-6d,3.1440365748849226
Xp-7d,2.096996074608098
ZMIC0,102.72560992610734
ZMIC1,42.68546255588556
ZMIC2,29.187195378514176
ZMIC3,27.73851489810777
ZMIC4,27.73851489810777
ZMIC5,27.73851489810777
nAcid,1
nAtom,58
nBase,3
nRing,2
piPC1,3.7256934272366524
piPC2,4.223177434065069
piPC3,4.452892750542514
piPC4,4.812692356399344
piPC5,4.974144185513841
piPC6,5.015622835607295
piPC7,5.047449267218972
piPC8,5.271716684750857
piPC9,5.388500790606016
AATS0Z,31.310344827586206
AATS0d,3.0517241379310347
AATS0i,166.52832168172282
AATS0m,124.08040270689656
AATS0p,1.533344352257293
AATS0s,6.740854559859987
AATS0v,209.84543676811893
AATS1Z,31.559322033898304
AATS1d,3.6779661016949152
AATS1i,150.19965895620598
AATS1m,120.80219752542375
AATS1p,1.838699864508475
AATS1s,2.9829462230592174
AATS1v,257.0813252855713
AATS2Z,24.35238095238095
AATS2d,3.1142857142857143
AATS2i,158.27583056186697
AATS2m,90.75512827619049
AATS2p,1.5310601129841808
AATS2s,3.9405496766607873
AATS2v,204.5158154221477
AATS3Z,18.87142857142857
AATS3d,2.585714285714286
AATS3i,165.67944205191378
AATS3m,67.42487944285715
AATS3p,1.2436136015247854
AATS3s,3.1724757495590827
AATS3v,161.58595311031783
AATS4Z,19.96212121212121
AATS4d,2.5681818181818183
AATS4i,166.11176077770997
AATS4m,71.25302429545457
AATS4p,1.2356291488903561
AATS4s,3.749169940142162
AATS4v,166.11368165899063
AATS5Z,20.24
AATS5d,2.552
AATS5i,164.81990769075685
AATS5m,73.170915776
AATS5p,1.2285101394546325
AATS5s,4.912049382716051
AATS5v,169.32096630091556
AATS6Z,19.54621848739496
AATS6d,2.5294117647058822
AATS6i,163.1558965994748
AATS6m,70.39181538655461
AATS6p,1.2581859709086636
AATS6s,4.073270048760244
AATS6v,170.0935765980739
AATS7Z,21.02542372881356
AATS7d,2.4491525423728815
AATS7i,163.06579650091234
AATS7m,77.29487838135591
AATS7p,1.2565843888213821
AATS7s,3.8606155983353094
AATS7v,164.70820824360678
AATS8Z,20.017857142857142
AATS8d,2.419642857142857
AATS8i,164.74074173367777
AATS8m,73.26871398214284
AATS8p,1.2549909089314204
AATS8s,3.594438932980599
AATS8v,162.0699753804954
AMID_C,1.1810841968813413
AMID_N,0.32405471273714964
AMID_O,0.3353915678338875
AMID_X,0.0
AMID_h,0.796103948359852
ATS0dv,450.8888888888889
ATS0pe,378.24739999999997
ATS0se,465.7339899999999
ATS1dv,332.33333333333337
ATS1pe,392.45910000000003
ATS1se,471.6874039999999
ATS2dv,536.3333333333334
ATS2pe,685.4733999999997
ATS2se,835.3192799999997
ATS3dv,440.66666666666663
ATS3pe,889.9447000000004
ATS3se,1108.89512
ATS4dv,480.0
ATS4pe,864.3225000000001
ATS4se,1071.1152459999998
ATS5dv,543.3333333333333
ATS5pe,827.2506000000001
ATS5se,1020.2856520000001
ATS6dv,443.66666666666663
ATS6pe,772.2986000000002
ATS6se,955.9134420000001
ATS7dv,432.77777777777777
ATS7pe,746.0329
ATS7se,929.7474630000002
ATS8dv,388.66666666666663
ATS8pe,703.3908
ATS8se,880.6625500000001
ATSC0Z,738.4137931034484
ATSC0c,1.5756533478630663
ATSC0d,34.224137931034484
ATSC0i,90.73139834963396
ATSC0m,3330.078616155173
ATSC0p,17.92563834438988
ATSC0s,177.36738003169197
ATSC0v,2829.517842117115
ATSC1Z,109.02734839476813
ATSC1c,-1.1431009746578094
ATSC1d,4.513376932223547
ATSC1i,-13.242398063344805
ATSC1m,475.8668925662902
ATSC1p,0.031796229181603484
ATSC1s,-21.09628080609014
ATSC1v,106.4078376916508
ATSC2Z,33.664684898929806
ATSC2c,0.7116224152922039
ATSC2d,-4.45749108204518
ATSC2i,5.5172192247323935
ATSC2m,156.40160963287732
ATSC2p,-0.7330844214437845
ATSC2s,69.51996760971896
ATSC2v,-377.0119073691227
ATSC3Z,-110.37812128418554
ATSC3c,-0.2791537796613076
ATSC3d,-0.9720570749108195
ATSC3i,-7.4897438567503976
ATSC3m,-471.14451880558863
ATSC3p,-1.3794618076912597
ATSC3s,-46.45418691250374
ATSC3v,-5.85628115556143
ATSC4Z,-231.5279429250892
ATSC4c,-0.2071698493986928
ATSC4d,-7.579072532699165
ATSC4i,-1.0338828127688642
ATSC4m,-1028.662798180738
ATSC4p,-3.1697011426759847
ATSC4s,-61.030745841957675
ATSC4v,-208.66348789622978
ATSC5Z,-74.34007134363856
ATSC5c,0.27305945577903523
ATSC5d,-0.8796076099881087
ATSC5i,2.7076542137480475
ATSC5m,-338.7601969378715
ATSC5p,-0.7592667019502741
ATSC5s,37.33407229109478
ATSC5v,-193.28015442548138
ATSC6Z,-62.228299643281815
ATSC6c,-0.2629805317645136
ATSC6d,-0.7012485136741968
ATSC6i,-10.343472037638248
ATSC6m,-299.3286911459573
ATSC6p,-0.17485393257080437
ATSC6s,-24.511317407627608
ATSC6v,-287.6498578410885
ATSC7Z,315.57193816884654
ATSC7c,-0.015003715819090057
ATSC7d,5.233650416171225
ATSC7i,-22.735407182582506
ATSC7m,1357.2835049601665
ATSC7p,1.344629383326073
ATSC7s,21.99612979314586
ATSC7v,169.21417410465415
ATSC8Z,206.4768133174793
ATSC8c,0.3932199343579354
ATSC8d,3.843043995243759
ATSC8i,15.875827816162184
ATSC8m,957.1404285969086
ATSC8p,3.811915498666923
ATSC8s,8.706984477376036
ATSC8v,806.5261813366926
AXp-0d,0.7372632381713592
AXp-1d,0.45929715880714017
AXp-2d,0.31484851467084873
AXp-3d,0.19983015265307721
AXp-4d,0.1320531328364109
AXp-5d,0.08827181314668048
AXp-6d,0.057164301361544045
AXp-7d,0.0374463584751446
GATS1Z,0.8353797531473943
GATS1c,1.7518597992035412
GATS1d,1.1573752294753021
GATS1i,1.509633674201692
GATS1m,0.8284576797740472
GATS1p,1.2242239811126374
GATS1s,0.6955243650638285
GATS1v,1.0431824372128333
GATS2Z,0.9513055544436883
GATS2c,0.6875980563378076
GATS2d,1.2372220223101835
GATS2i,1.1638661852240666
GATS2m,0.9450176496877167
GATS2p,1.1218810774769847
GATS2s,0.47315926712301754
GATS2v,1.1028896566143072
GATS3Z,1.164503862626586
GATS3c,1.0408015510631923
GATS3d,1.0766210867218424
GATS3i,1.0626400330063226
GATS3m,1.1518039250858978
GATS3p,1.1111375915182484
GATS3s,1.030764914068486
GATS3v,0.9917976614595033
GATS4Z,1.277769640931591
GATS4c,1.2080190310033567
GATS4d,1.2365010304556905
GATS4i,1.0374071673114709
GATS4m,1.2630182742479668
GATS4p,1.1677190937308128
GATS4s,1.3087568819112663
GATS4v,0.9931969304649083
GATS5Z,1.009986550854581
GATS5c,1.0786970691516187
GATS5d,1.0392664987405542
GATS5i,0.9648937652081079
GATS5m,1.0112248184939203
GATS5p,0.9688208382778071
GATS5s,1.1989667868952447
GATS5v,0.9747133197333382
GATS6Z,0.9649061361725972
GATS6c,1.1829746370499594
GATS6d,0.9866985585166056
GATS6i,1.0353078743589097
GATS6m,0.9709798031754453
GATS6p,0.951034733559698
GATS6s,1.2433987778581166
GATS6v,1.0169755636919888
GATS7Z,0.7650560855958322
GATS7c,0.9855285213749625
GATS7d,0.8468599240063185
GATS7i,1.093795612994732
GATS7m,0.7751598492383951
GATS7p,0.9619955773918508
GATS7s,0.923533052600348
GATS7v,0.9744687440684328
GATS8Z,0.9542232468078292
GATS8c,0.8391672002488897
GATS8d,0.9070978769341489
GATS8i,0.8826649302527956
GATS8m,0.9421564459611125
GATS8p,0.9780811359790595
GATS8s,0.928777805305533
GATS8v,0.868934590842672
MATS1Z,0.14514819229618509
MATS1c,-0.7131812231357995
MATS1d,0.12964180506339934
MATS1i,-0.1434779015350078
MATS1m,0.14047757003239494
MATS1p,0.0017437208897341566
MATS1s,-0.11692520192227791
MATS1v,0.03696895402527076
MATS2Z,0.02518334689811291
MATS2c,0.24947534813279423
MATS2d,-0.07194434448842502
MATS2i,0.033589329221051005
MATS2m,0.0259433124683015
MATS2p,-0.022590094874891317
MATS2s,0.21650827740077094
MATS2v,-0.07360059489700707
MATS3Z,-0.06192744399525013
MATS3c,-0.07339775792650577
MATS3d,-0.011766822598056843
MATS3i,-0.03419867807563
MATS3m,-0.058613764419331395
MATS3p,-0.03188122561381998
MATS3s,-0.1085053294645833
MATS3v,-0.0008574512538766717
MATS4Z,-0.13777095697801778
MATS4c,-0.057772337027301356
MATS4d,-0.09730554919471793
MATS4i,-0.00500688681357715
MATS4m,-0.13572898760044344
MATS4p,-0.07769583682456446
MATS4s,-0.15119206155526738
MATS4v,-0.03240321392912747
MATS5Z,-0.04671336508826003
MATS5c,0.08041082618413814
MATS5d,-0.011925440806045332
MATS5i,0.013846932572754319
MATS5m,-0.04720150768111715
MATS5p,-0.019653400505828297
MATS5s,0.09766739261736122
MATS5v,-0.03169514972427991
MATS6Z,-0.041074204969182966
MATS6c,-0.08134745209255387
MATS6d,-0.009986664691065334
MATS6i,-0.05556352278136543
MATS6m,-0.04381016536260955
MATS6p,-0.004754247713873754
MATS6s,-0.0673556350433137
MATS6v,-0.04954875643103506
MATS7Z,0.21006058130828392
MATS7c,-0.004680412595503112
MATS7d,0.07516543568287583
MATS7i,-0.12316607979525382
MATS7m,0.20033741745891204
MATS7p,0.036870069266147325
MATS7s,0.060956287537416276
MATS7v,0.029394785001772325
MATS8Z,0.14480430025750848
MATS8c,0.1292363907310217
MATS8d,0.05815041381792014
MATS8i,0.09061263226307224
MATS8m,0.1488439357742657
MATS8p,0.1101231449071557
MATS8s,0.02542166492818344
MATS8v,0.1476100760665266
MAXaaS,1.1863909846983889
MAXdsN,4.1698070554143225
MAXsOH,9.205538150897866
MINaaS,1.1863909846983889
MINdsN,4.1698070554143225
MINsOH,9.205538150897866
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,-3.7409183727870006
SdssSe,0
SdsssP,0
SpAD_A,37.881704140680064
SpAD_D,450.9454513010264
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.7897203702737112
SssNH2,0
SsssAs,0
SsssCH,-1.4583893681995932
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,561
TMWC10,137.84892444874498
TSRW10,79.57762103913402
VE1_Dt,5.474714308857758
VE2_Dt,0.1766036873825083
VE3_Dt,2.831542204801641
VR1_Dt,191.0516868952265
VR2_Dt,6.1629576417815
VR3_Dt,6.383946114945796
Xc-3dv,1.3605979454829025
Xc-4dv,0.07216878364870322
Xc-5dv,0.05471829163684985
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.25343678769327627
Xch-7d,0.29536077535649696
Xp-0dv,18.77406344316367
Xp-1dv,12.346559013820503
Xp-2dv,9.90413883035593
Xp-3dv,6.931616032325797
Xp-4dv,4.884170256668417
Xp-5dv,2.7710680408123674
Xp-6dv,1.5653600406449433
Xp-7dv,0.930806539446989
Xpc-4d,4.2847123014863335
Xpc-5d,5.800382430983713
Xpc-6d,7.4201984048899225
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,59
nFRing,0
nHBAcc,8
nHBDon,5
nHRing,2
nSpiro,0
naRing,1
piPC10,5.611758555843027
AATS0dv,7.773946360153257
AATS0pe,6.521506896551724
AATS0se,8.029896379310342
AATS1dv,5.632768361581921
AATS1pe,6.651849152542374
AATS1se,7.994701762711863
AATS2dv,5.107936507936508
AATS2pe,6.528318095238093
AATS2se,7.955421714285712
AATS3dv,3.1476190476190475
AATS3pe,6.356747857142859
AATS3se,7.920679428571428
AATS4dv,3.6363636363636362
AATS4pe,6.547897727272728
AATS4se,8.114509439393938
AATS5dv,4.346666666666666
AATS5pe,6.6180048000000005
AATS5se,8.162285216
AATS6dv,3.7282913165266103
AATS6pe,6.489904201680674
AATS6se,8.032886067226892
AATS7dv,3.667608286252354
AATS7pe,6.322312711864407
AATS7se,7.879215788135594
AATS8dv,3.470238095238095
AATS8pe,6.2802750000000005
AATS8se,7.863058482142859
AATSC0Z,12.731272294887042
AATSC0c,0.027166437032121835
AATSC0d,0.5900713436385255
AATSC0i,1.5643344543040338
AATSC0m,57.415148554399536
AATSC0p,0.30906273007568763
AATSC0s,3.0580582764084823
AATSC0v,48.784790381329564
AATSC1Z,1.847921159233358
AATSC1c,-0.019374592790810326
AATSC1d,0.07649791410548386
AATSC1i,-0.2244474248024543
AATSC1m,8.06554055197102
AATSC1p,0.0005389191386712455
AATSC1s,-0.3575640814591549
AATSC1v,1.8035226727398441
AATSC2Z,0.32061604665647436
AATSC2c,0.006777356336116228
AATSC2d,-0.0424522960194779
AATSC2i,0.05254494499745137
AATSC2m,1.4895391393607365
AATSC2p,-0.006981756394702709
AATSC2s,0.6620949296163711
AATSC2v,-3.590589593991645
AATSC3Z,-0.7884151520298968
AATSC3c,-0.00199395556900934
AATSC3d,-0.006943264820791568
AATSC3i,-0.05349817040535998
AATSC3m,-3.36531799146849
AATSC3p,-0.009853298626366141
