DLiP-ID,P000EZ
ATS1d,88.0
ATS1i,3417.613546943051
ATS1m,1928.3742800000005
ATS1p,44.80099539599998
ATS1s,65.97222222222223
ATS1v,6305.531832019622
ATS2Z,742.0
ATS2d,141.0
ATS2i,6343.296847583697
ATS2m,2686.5529519999996
ATS2p,69.113250749396
ATS2s,103.77777777777777
ATS2v,9297.972782887908
ATS3Z,772.0
ATS3d,157.0
ATS3i,9196.147547034738
ATS3m,2689.118859
ATS3p,76.53695364388598
ATS3s,133.75
ATS3v,9834.93925462295
ATS4Z,576.0
ATS4d,119.0
ATS4i,8589.037207551439
ATS4m,1865.8630769999993
ATS4p,61.097408116187985
ATS4s,129.0
ATS4v,7510.434232886566
ATS5Z,295.0
ATS5d,72.0
ATS5i,7169.069158697484
ATS5m,818.7099109999998
ATS5p,38.53105970273499
ATS5s,95.83333333333333
ATS5v,4320.819952576141
ATS6Z,73.0
ATS6d,31.0
ATS6i,4215.991167746335
ATS6m,132.24456
ATS6p,15.533539714735
ATS6s,39.5
ATS6v,1433.4397423085181
ATS7Z,6.0
ATS7d,6.0
ATS7i,1109.505912145494
ATS7m,6.0963840000000005
ATS7p,2.6676774290939997
ATS7s,6.0
ATS7v,186.50246658558157
ATS8Z,0.0
ATS8d,0.0
ATS8i,0.0
ATS8m,0.0
ATS8p,0.0
ATS8s,0.0
ATS8v,0.0
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,4
C2SP3,4
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.4
GGI10,0.0
JGI10,0.0
JGT10,0.32339506172839505
Kier1,7.638888888888889
Kier2,3.1640625
Kier3,1.4512471655328798
MID_C,20.731892076156118
MID_N,0.0
MID_O,1.776340604922322
MID_X,0.0
MID_h,1.776340604922322
MPC10,3
MWC01,12.0
MWC02,4.04305126783455
MWC03,4.875197323201151
MWC04,5.726847747587197
MWC05,6.57507584059962
MWC06,7.4318919168078
MWC07,8.283241441385425
MWC08,9.140883106960962
MWC09,9.992916837362552
MWC10,10.850637211996267
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.271000000000001
SRW02,3.2188758248682006
SRW03,0.0
SRW04,4.48863636973214
SRW05,0.0
SRW06,5.998936561946683
SRW07,0.0
SRW08,7.617267813628347
SRW09,0.0
SRW10,9.284055409798464
SaaCH,5.831203703703704
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.0112962962962975
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.1569725459673617
VE1_D,3.2870557055585135
VE2_A,0.28699750417885106
VE2_D,0.29882324595986487
VE3_A,1.2449236931014298
VE3_D,1.2853024215769127
VR1_A,41.88526368015496
VR1_D,42.13196750787998
VR2_A,3.8077512436504506
VR2_D,3.830178864352725
VR3_A,3.83024424272644
VR3_D,3.8361169555801835
WPath,140
Xc-3d,0.5384516905501369
Xc-4d,0.0
Xc-5d,0.1642664266089148
Xc-6d,0.0
Xp-0d,7.681798275874712
Xp-1d,5.377010097711745
Xp-2d,4.616578860258536
Xp-3d,3.9331539799089885
Xp-4d,3.2599829620593215
Xp-5d,2.51337767033575
Xp-6d,1.3714330794467864
Xp-7d,0.8104803865521654
ZMIC0,38.796831909504775
ZMIC1,26.26911395872904
ZMIC2,20.864897374136927
ZMIC3,18.988399430548412
ZMIC4,17.14182381658579
ZMIC5,16.611889223174657
nAcid,0
nAtom,23
nBase,0
nRing,2
piPC1,2.772588722239781
piPC2,3.3141860046725258
piPC3,3.844814255734696
piPC4,4.3224756550473495
piPC5,4.74221103824889
piPC6,4.616357375378656
piPC7,4.563045259687421
piPC8,4.556176876185982
piPC9,4.5591262474866845
AATS0Z,18.956521739130434
AATS0d,2.9565217391304346
AATS0i,159.66985526058644
AATS0m,74.38269473913041
AATS0p,1.4725025590516523
AATS0s,3.3623188405797104
AATS0v,209.7636838099485
AATS1Z,21.583333333333332
AATS1d,3.6666666666666665
AATS1i,142.40056445596045
AATS1m,80.34892833333335
AATS1p,1.8667081414999993
AATS1s,2.748842592592593
AATS1v,262.7304930008176
AATS2Z,17.25581395348837
AATS2d,3.2790697674418605
AATS2i,147.51853133915574
AATS2m,62.477975627906964
AATS2p,1.6072849011487442
AATS2s,2.4134366925064596
AATS2v,216.2319251834397
AATS3Z,13.084745762711865
AATS3d,2.6610169491525424
AATS3i,155.86690757685997
AATS3m,45.57828574576271
AATS3p,1.2972365024387453
AATS3s,2.266949152542373
AATS3v,166.69388567157543
AATS4Z,10.666666666666666
AATS4d,2.2037037037037037
AATS4i,159.0562445842859
AATS4m,34.55301994444443
AATS4p,1.1314334836331108
AATS4s,2.388888888888889
AATS4v,139.0821154238253
AATS5Z,6.8604651162790695
AATS5d,1.6744186046511629
AATS5i,166.7225385743601
AATS5m,19.03976537209302
AATS5p,0.8960711558775579
AATS5s,2.2286821705426356
AATS5v,100.48418494363119
AATS6Z,3.0416666666666665
AATS6d,1.2916666666666667
AATS6i,175.6662986560973
AATS6m,5.510190000000001
AATS6p,0.6472308214472916
AATS6s,1.6458333333333333
AATS6v,59.72665592952159
AATS7Z,1.0
AATS7d,1.0
AATS7i,184.917652024249
AATS7m,1.016064
AATS7p,0.44461290484899996
AATS7s,1.0
AATS7v,31.083744430930263
AMID_C,1.884717461468738
AMID_N,0.0
AMID_O,0.1614855095383929
AMID_X,0.0
AMID_h,0.1614855095383929
ATS0dv,116.0
ATS0pe,134.9386
ATS0se,169.3784440000001
ATS1dv,122.0
ATS1pe,149.57750000000004
ATS1se,180.74468000000005
ATS2dv,162.0
ATS2pe,256.96899999999994
ATS2se,316.2143839999999
ATS3dv,141.0
ATS3pe,342.36400000000003
ATS3se,430.52883599999984
ATS4dv,73.0
ATS4pe,314.41499999999996
ATS4se,397.90878
ATS5dv,22.0
ATS5pe,244.417
ATS5se,315.6003559999999
ATS6dv,0.0
ATS6pe,127.00600000000001
ATS6se,169.54272000000003
ATS7dv,0.0
ATS7pe,29.040000000000006
ATS7se,40.31078399999999
ATS8dv,0.0
ATS8pe,0.0
ATS8se,0.0
ATSC0Z,157.73913043478262
ATSC0c,0.39182600074658924
ATSC0d,11.652173913043482
ATSC0i,30.940173324011614
ATSC0m,755.8140648695653
ATSC0p,5.588022842437738
ATSC0s,24.07246376811593
ATSC0v,1233.0931947851914
ATSC1Z,1.402646502835541
ATSC1c,-0.21564353311486803
ATSC1d,4.362948960302458
ATSC1i,4.143613138179385
ATSC1m,9.317323440453249
ATSC1p,0.6985951744239306
ATSC1s,-1.7120877966813697
ATSC1v,105.9627965086305
ATSC2Z,-7.338374291115292
ATSC2c,0.02217549964432348
ATSC2d,-0.9584120982986781
ATSC2i,-5.022577699990759
ATSC2m,-37.519945277883224
ATSC2p,-0.8596334426286357
ATSC2s,2.9901281243436246
ATSC2v,-144.52543100556466
ATSC3Z,4.060491493383758
ATSC3c,0.021584410590081187
ATSC3d,-6.803402646502835
ATSC3i,-6.579826624868327
ATSC3m,15.642700465028282
ATSC3p,-1.0601896379243723
ATSC3s,2.042375551354758
ATSC3v,-129.3309416858868
ATSC4Z,-75.03969754253309
ATSC4c,-0.0014251796908746651
ATSC4d,-8.531190926275993
ATSC4i,-18.375844815820386
ATSC4m,-363.56176482419653
ATSC4p,-3.317133638603387
ATSC4s,-4.902016383112792
ATSC4v,-703.7731195528775
ATSC5Z,-64.77315689981099
ATSC5c,-0.06429636021564547
ATSC5d,0.47637051039697687
ATSC5i,-4.00211457133702
ATSC5m,-306.55322106049124
ATSC5p,-0.8941920470510396
ATSC5s,-10.534026465028354
ATSC5v,-328.4595340358838
ATSC6Z,25.967863894139875
ATSC6c,0.0189175188299567
ATSC6d,3.7107750472589807
ATSC6i,8.17640182619807
ATSC6m,127.4871514839324
ATSC6p,1.4660636647643093
ATSC6s,-1.553875236294894
ATSC6v,296.19836287862404
ATSC7Z,36.85066162570888
ATSC7c,0.022774643583732164
ATSC7d,1.916824196597354
ATSC7i,6.190262085633221
ATSC7m,177.28072333837446
ATSC7p,1.1724785058003264
ATSC7s,1.6332703213610593
ATSC7v,287.38126950036235
ATSC8Z,0.0
ATSC8c,0.0
ATSC8d,0.0
ATSC8i,0.0
ATSC8m,0.0
ATSC8p,0.0
ATSC8s,0.0
ATSC8v,0.0
AXp-0d,0.698345297806792
AXp-1d,0.44808417480931206
AXp-2d,0.2885361787661585
AXp-3d,0.1872930466623328
AXp-4d,0.12538396007920466
AXp-5d,0.08377925567785834
AXp-6d,0.05962752519333854
AXp-7d,0.04052401932760827
GATS1Z,0.9530503491363469
GATS1c,1.3394283001656029
GATS1d,0.7473569651741291
GATS1i,0.9731812265036986
GATS1m,0.9534952867334756
GATS1p,0.9713191976326423
GATS1s,0.9340047829286243
GATS1v,0.964284790361675
GATS2Z,0.9454821671239197
GATS2c,0.48865933418801605
GATS2d,1.2733425893786876
GATS2i,1.1315360174163325
GATS2m,0.9532180578358684
GATS2p,1.1286625970367472
GATS2s,0.4858822321474411
GATS2v,1.0884917566344952
GATS3Z,0.9290172481453104
GATS3c,0.6676638241971224
GATS3d,1.3920440172021247
GATS3i,1.0558352888377747
GATS3m,0.933260751179502
GATS3p,1.0498041029298961
GATS3s,0.7387847495042469
GATS3v,1.0153654175469862
GATS4Z,1.1738790885703785
GATS4c,1.1089276621177353
GATS4d,1.223742399115533
GATS4i,1.189595900409794
GATS4m,1.1734395039895773
GATS4p,1.1850288152557493
GATS4s,1.2639093287548038
GATS4v,1.174141710830108
GATS5Z,1.2146932129945387
GATS5c,1.5393903522035959
GATS5d,0.5927629295383545
GATS5i,0.9499884929878236
GATS5m,1.2052189614379933
GATS5p,0.9601368168636292
GATS5s,1.693798449612404
GATS5v,1.0277909228826816
GATS6Z,0.7932400771775082
GATS6c,1.2600313122465485
GATS6d,0.275342039800995
GATS6i,0.5669014980406252
GATS6m,0.7864668231080297
GATS6p,0.580831931767756
GATS6s,1.042425496688742
GATS6v,0.6477832413326335
GATS7Z,0.0
GATS7c,0.6887622342135252
GATS7d,0.0
GATS7i,0.0
GATS7m,0.0
GATS7p,0.0
GATS7s,0.0
GATS7v,0.0
MATS1Z,0.008521683204704165
MATS1c,-0.5274238705649434
MATS1d,0.3588308457711442
MATS1i,0.12834325616636139
MATS1m,0.011813886570072369
MATS1p,0.11980749918771047
MATS1s,-0.06815882333266443
MATS1v,0.08235199125004294
MATS2Z,-0.024883977333914446
MATS2c,0.030271890432595396
MATS2d,-0.043995140576188876
MATS2i,-0.08682870068951325
MATS2m,-0.026552572745250864
MATS2p,-0.0822838322952674
MATS2s,0.06643984897488672
MATS2v,-0.06269136885372939
MATS3Z,0.010034944779773175
MATS3c,0.021474485458909717
MATS3d,-0.2276119402985074
MATS3i,-0.08290248189580607
MATS3m,0.008068124370310348
MATS3p,-0.0739607330329448
MATS3s,0.033074317084868236
MATS3v,-0.04088672857179125
MATS4Z,-0.20262158520151904
MATS4c,-0.0015492105635919837
MATS4d,-0.31184355997788826
MATS4i,-0.25296395840728375
MATS4m,-0.2048789358540621
MATS4p,-0.2528359772820534
MATS4s,-0.08673378375365134
MATS4v,-0.24309210273401513
MATS5Z,-0.21964180405630632
MATS5c,-0.08777129728217606
MATS5d,0.021867407150295094
MATS5i,-0.06918726379094167
MATS5m,-0.21694532447246917
MATS5p,-0.08559177062064968
MATS5s,-0.23406325693404095
MATS5v,-0.14247719351879906
MATS6Z,0.1577659867695699
MATS6c,0.0462687234746157
MATS6d,0.3051927860696518
MATS6i,0.2532538630186702
MATS6m,0.16164714645771106
MATS6p,0.2514266169534037
MATS6s,-0.06186032510535816
MATS6v,0.230198954649812
MATS7Z,0.8955347298787208
MATS7c,0.22281012550968793
MATS7d,0.6305970149253731
MATS7i,0.7669426330107795
MATS7m,0.8991313309943674
MATS7p,0.8043096933620542
MATS7s,0.260084286574353
MATS7v,0.8933860022991175
MAXsOH,9.456342592592593
MINsOH,9.456342592592593
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,3
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,14.495357090321049
SpAD_D,51.929944444420144
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.701157407407408
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,194
TMWC10,89.91974269373553
TSRW10,41.60777197997383
VE1_Dt,3.3143962521694292
VE2_Dt,0.30130875019722086
VE3_Dt,1.2935856608127847
VR1_Dt,40.21233398210932
VR2_Dt,3.655666725646302
VR3_Dt,3.789483943846414
Xc-3dv,0.25500014270107446
Xc-4dv,0.0
Xc-5dv,0.05890616505373353
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.15137471507731048
Xch-7d,0.2713045141402626
Xp-0dv,6.507691527815027
Xp-1dv,4.174730514792818
Xp-2dv,3.121922413714982
Xp-3dv,2.371203144854334
Xp-4dv,1.7611740067346107
Xp-5dv,1.2658730596696195
Xp-6dv,0.5763712897172453
Xp-7dv,0.3129023241107235
Xpc-4d,1.4401774752272036
Xpc-5d,2.343625285575563
Xpc-6d,3.3721544447021388
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,24
nFRing,1
nHBAcc,1
nHBDon,1
nHRing,0
nSpiro,0
naRing,1
piPC10,2.9295256953157227
AATS0dv,5.043478260869565
AATS0pe,5.8668956521739135
AATS0se,7.3642801739130475
AATS1dv,5.083333333333333
AATS1pe,6.232395833333335
AATS1se,7.531028333333335
AATS2dv,3.7674418604651163
AATS2pe,5.976023255813952
AATS2se,7.353822883720928
AATS3dv,2.389830508474576
AATS3pe,5.80277966101695
AATS3se,7.297098915254234
AATS4dv,1.3518518518518519
AATS4pe,5.822499999999999
AATS4se,7.368681111111111
AATS5dv,0.5116279069767442
AATS5pe,5.684116279069768
AATS5se,7.3395431627906955
AATS6dv,0.0
AATS6pe,5.291916666666667
AATS6se,7.064280000000001
AATS7dv,0.0
AATS7pe,4.840000000000001
AATS7se,6.718463999999998
AATSC0Z,6.858223062381853
AATSC0c,0.01703591307593866
AATSC0d,0.506616257088847
AATSC0i,1.3452249271309398
AATSC0m,32.86148108128545
AATSC0p,0.2429575148885973
AATSC0s,1.0466288594833013
AATSC0v,53.61274759935615
AATSC1Z,0.05844360428481421
AATSC1c,-0.008985147213119502
AATSC1d,0.18178954001260242
AATSC1i,0.17265054742414102
AATSC1m,0.3882218100188854
AATSC1p,0.029108132267663775
AATSC1s,-0.0713369915283904
AATSC1v,4.415116521192938
AATSC2Z,-0.17065986723523935
AATSC2c,0.0005157092940540344
AATSC2d,-0.02228865344880647
AATSC2i,-0.11680413255792463
AATSC2m,-0.8725568669275169
AATSC2p,-0.019991475409968273
AATSC2s,0.06953786335682847
AATSC2v,-3.3610565350131316
AATSC3Z,0.06882188971836878
AATSC3c,0.00036583746762849467
AATSC3d,-0.11531190926275993
AATSC3i,-0.11152248516725977
AATSC3m,0.26513051635641155
AATSC3p,-0.017969315897023257
AATSC3s,0.03461653476872471
AATSC3v,-2.1920498590828275
AATSC4Z,-1.3896240285654275
AATSC4c,-2.6392216497678984e-05
AATSC4d,-0.15798501715325913
AATSC4i,-0.34029342251519235
AATSC4m,-6.7326252745221575
AATSC4p,-0.06142840071487754
AATSC4s,-0.09077808116875541
AATSC4v,-13.032835547275509
AATSC5Z,-1.506352486042116
AATSC5c,-0.0014952641910615226
AATSC5d,0.011078383962720392
AATSC5i,-0.0930724318915586
AATSC5m,-7.129144675825378
AATSC5p,-0.0207951638849079
AATSC5s,-0.24497735965182219
AATSC5v,-7.6385938147879955
AATSC6Z,1.0819943289224947
AATSC6c,0.0007882299512481958
AATSC6d,0.1546156269691242
AATSC6i,0.3406834094249196
AATSC6m,5.31196464516385
AATSC6p,0.06108598603184622
AATSC6s,-0.06474480151228725
AATSC6v,12.341598453276001
AATSC7Z,6.141776937618147
AATSC7c,0.0037957739306220275
AATSC7d,0.31947069943289236
AATSC7i,1.031710347605537
AATSC7m,29.54678722306241
AATSC7p,0.1954130843000544
AATSC7s,0.2722117202268432
AATSC7v,47.89687825006039
ATS0are,132.83
ATS1are,145.7
ATS2are,250.85999999999993
ATS3are,336.21
ATS4are,309.92999999999995
ATS5are,242.34999999999997
ATS6are,126.50000000000001
ATS7are,29.040000000000006
ATS8are,0.0
ATSC0dv,65.7391304347826
ATSC0pe,1.7857478260869546
ATSC0se,1.0706386086956523
ATSC1dv,19.228733459357287
ATSC1pe,-0.16270642722117473
ATSC1se,-0.10105211342154895
ATSC2dv,10.574669187145561
ATSC2pe,0.07528015122873144
ATSC2se,0.04579564461247666
ATSC3dv,-12.417769376181468
ATSC3pe,0.2163425330812851
ATSC3se,0.07413226465028322
ATSC4dv,-46.99621928166352
ATSC4pe,-0.44867750472589785
ATSC4se,-0.1808022986767479
ATSC5dv,-27.425330812854448
ATSC5pe,-0.8312589792060472
ATSC5se,-0.39510400756143615
ATSC6dv,11.054820415879007
