DLiP-ID,T000AT
Sse,62.07137654770577
StN,0
fMF,0.5245901639344263
nBr,0
nCl,0
AMID,2.096429893080452
BIC0,0.2538282831605812
BIC1,0.6066870047263453
BIC2,0.7912931083654201
BIC3,0.9025466263950633
BIC4,0.9149850547568915
BIC5,0.9149850547568915
CIC0,4.340049669004462
CIC1,2.1287593819293225
CIC2,0.9718723363138402
CIC3,0.27467028692071427
CIC4,0.19672131147541183
CIC5,0.19672131147541183
GGI1,6.5
GGI2,3.7777777777777795
GGI3,1.9513888888888888
GGI4,1.9372222222222226
GGI5,1.1391666666666664
GGI6,0.848344671201814
GGI7,0.6024305555555556
GGI8,0.4170052280171327
GGI9,0.17126543209876544
JGI1,0.1585365853658537
JGI2,0.06513409961685826
JGI3,0.03423489278752437
JGI4,0.03655136268343816
JGI5,0.021907051282051282
JGI6,0.016314320600034883
JGI7,0.012817671394799056
JGI8,0.010170859219930068
JGI9,0.005189861578750467
MIC0,15.041673657401606
MIC1,35.97607050682065
MIC2,44.21736241817029
MIC3,47.12158515258649
MIC4,47.20015771983535
MIC5,47.20015771983535
MPC2,58
MPC3,79
MPC4,108
MPC5,137
MPC6,153
MPC7,182
MPC8,213
MPC9,225
Mare,1.001377049180328
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,4
NssS,0
NtCH,0
NtsC,0
RNCG,0.1295616687737405
RPCG,0.08020797963964449
SIC0,0.2682107768428141
SIC1,0.6410632842485497
SIC2,0.8361295938435185
SIC3,0.953686991804364
SIC4,0.9668302100938683
SIC5,0.9668302100938683
SaaN,4.606990755792284
SaaO,0
SaaS,0
Sare,61.08400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.6049248937619
SsSH,0
SssO,22.487602300086913
SssS,0
StCH,0
StsC,0
TIC0,97.0319477820639
TIC1,231.92065529364743
TIC2,302.49076507619185
TIC3,345.0200900891725
TIC4,349.774977591336
TIC5,349.774977591336
Vabc,414.53990138238134
WPol,57
apol,69.871825
bpol,36.31217500000001
nRot,8
ABCGG,20.199740611340157
ATS0Z,1528.0
ATS0d,223.0
ATS0i,9792.816818281228
ATS0m,6044.929020000002
ATS0p,93.90484662122499
ATS0s,261.30555555555554
ATS0v,14240.337139456353
ATS1Z,1791.0
ATS1d,286.0
ATS1i,9626.750118419157
ATS1m,6870.354405000003
ATS1p,120.06575941600003
ATS1s,216.47222222222223
ATS1v,18246.695312714513
ATS2Z,2687.0
ATS2d,452.0
ATS2i,17443.261049095097
ATS2m,10108.854570000007
ATS2p,181.166582297094
ATS2s,391.94444444444434
ATS2v,27045.478954380204
ATS3Z,2758.0
ATS3d,501.0
ATS3i,22881.227111026285
ATS3m,10065.826576999998
ATS3p,206.52470816158393
ATS3s,425.74999999999994
ATS3v,29541.95633363126
ATS4Z,2654.0
ATS4d,486.0
ATS4i,23176.606168754584
ATS4m,9541.909649000005
ATS4p,213.776306206188
ATS4s,421.1388888888888
ATS4v,29633.48557316174
ATS5Z,2617.0
ATS5d,481.0
ATS5i,25301.935353313376
ATS5m,9421.027320000003
ATS5p,214.39263826947
ATS5s,445.72222222222223
ATS5v,29307.637788998363
ATS6Z,2647.0
ATS6d,455.0
ATS6i,24687.001044934776
ATS6m,9565.375760000003
ATS6p,200.88464125862106
ATS6s,490.49999999999994
ATS6v,28197.084195091564
ATS7Z,2458.0
ATS7d,412.0
ATS7i,22891.347256278623
ATS7m,8868.163555000001
ATS7p,178.79372495407398
ATS7s,477.9444444444444
ATS7v,25309.7979679273
ATS8Z,2120.0
ATS8d,358.0
ATS8i,19957.823694821327
ATS8m,7688.410060999999
ATS8p,151.277665872923
ATS8s,396.8888888888889
ATS8v,21534.908986670936
C1SP1,0
C1SP2,3
C1SP3,3
C2SP1,0
C2SP2,15
C2SP3,3
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.25925925925925924
GGI10,0.16079991837567595
JGI10,0.0055448247715750324
JGT10,0.36640152930081527
Kier1,26.234384295062462
Kier2,12.027348394768133
Kier3,6.1124819740426215
MAXdO,11.71148556408713
MID_C,57.4673373675966
MID_N,6.41120696496648
MID_O,11.592931818333179
MID_X,0.0
MID_h,18.00413878329966
MINdO,11.71148556408713
MPC10,241
MWC01,41.0
MWC02,5.293304824724492
MWC03,6.159095388491933
MWC04,7.048386408721883
MWC05,7.930565854233965
MWC06,8.82453082152646
MWC07,9.713839220355712
MWC08,10.61026639832702
MWC09,11.503592043789153
MWC10,12.401725774030526
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,7
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.254900000000003
SRW02,4.418840607796598
SRW03,0.0
SRW04,5.752572638825633
SRW05,3.044522437723423
SRW06,7.275864600546533
SRW07,5.351858133476067
SRW08,8.889997357284841
SRW09,7.4127640174265625
SRW10,10.55354454316437
SaaCH,19.194430464277705
SaaNH,0
SaaSe,0
SaaaC,1.8940572158693278
SaasC,5.379914211805541
SaasN,1.9830104744344323
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.8777591822709117
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.2491348779638365
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.574347002274667
VE1_D,5.908229312004553
VE2_A,0.12706519450762965
VE2_D,0.16411748088901537
VE3_A,2.8013978022591624
VE3_D,3.0572800231905126
VR1_A,1397.6894308169224
VR1_D,260.75465167348995
VR2_A,38.824706411581175
VR2_D,7.243184768708054
VR3_A,8.523509591084828
VR3_D,6.8445137787753465
WPath,4667
Xc-3d,2.224744871391589
Xc-4d,0.0
Xc-5d,0.41386054126573213
Xc-6d,0.0
Xp-0d,24.48455241637955
Xp-1d,17.636162928584238
Xp-2d,16.076413909846565
Xp-3d,13.672849960280438
Xp-4d,12.011459696983662
Xp-5d,9.886785654026008
Xp-6d,7.125691919185611
Xp-7d,5.480541833315296
ZMIC0,117.78417811698527
ZMIC1,60.39114048426664
ZMIC2,34.15491113150243
ZMIC3,26.012415868618703
ZMIC4,25.66291158142383
ZMIC5,25.66291158142383
nAcid,1
nAtom,61
nBase,0
nRing,6
piPC1,3.9889840465642745
piPC2,4.6076670661866785
piPC3,5.2046932645153685
piPC4,5.814690076743144
piPC5,6.354370040797351
piPC6,6.669478260981085
piPC7,7.074877269993461
piPC8,7.477160051657548
piPC9,7.709478308284315
AATS0Z,25.049180327868854
AATS0d,3.6557377049180326
AATS0i,160.53798062756113
AATS0m,99.09719704918037
AATS0p,1.5394237151020491
AATS0s,4.283697632058288
AATS0v,233.44814982715332
AATS1Z,27.136363636363637
AATS1d,4.333333333333333
AATS1i,145.85985027907813
AATS1m,104.0962788636364
AATS1p,1.8191781729696974
AATS1s,3.279882154882155
AATS1v,276.46508049567444
AATS2Z,23.57017543859649
AATS2d,3.9649122807017543
AATS2i,153.01106183416752
AATS2m,88.6741628947369
AATS2p,1.589180546465737
AATS2s,3.4381091617933714
AATS2v,237.24104345947546
AATS3Z,19.020689655172415
AATS3d,3.4551724137931035
AATS3i,157.8015662829399
AATS3m,69.41949363448275
AATS3p,1.4243083321488548
AATS3s,2.936206896551724
AATS3v,203.73762988711215
AATS4Z,17.812080536912752
AATS4d,3.261744966442953
AATS4i,155.54769240774888
AATS4m,64.03966207382554
AATS4p,1.4347403101086442
AATS4s,2.8264354958985827
AATS4v,198.88245351115262
AATS5Z,16.25465838509317
AATS5d,2.987577639751553
AATS5i,157.15487797089054
AATS5m,58.51569763975157
AATS5p,1.3316312935991925
AATS5s,2.7684610075914424
AATS5v,182.0350173229712
AATS6Z,16.96794871794872
AATS6d,2.9166666666666665
AATS6i,158.25000669829984
AATS6m,61.3165112820513
AATS6p,1.287722059350135
AATS6s,3.1442307692307687
AATS6v,180.7505397121254
AATS7Z,17.18881118881119
AATS7d,2.8811188811188813
AATS7i,160.07935144250786
AATS7m,62.015129755244764
AATS7p,1.2503057689096082
AATS7s,3.342268842268842
AATS7v,176.9915941813098
AATS8Z,17.096774193548388
AATS8d,2.8870967741935485
AATS8i,160.95019108726876
AATS8m,62.003306943548374
AATS8p,1.2199811763945403
AATS8s,3.2007168458781363
AATS8v,173.6686208602495
AMID_C,1.5963149268776833
AMID_N,0.17808908236018
AMID_O,0.3220258838425883
AMID_X,0.0
AMID_h,0.5001149662027683
ATS0dv,554.0
ATS0pe,395.2938999999999
ATS0se,482.27073599999983
ATS1dv,560.0
ATS1pe,441.3300000000001
ATS1se,524.1618439999997
ATS2dv,799.0
ATS2pe,759.7913
ATS2se,913.5214799999998
ATS3dv,728.0
ATS3pe,933.2947000000003
ATS3se,1139.832484
ATS4dv,684.0
ATS4pe,940.1843
ATS4se,1150.8030919999999
ATS5dv,682.0
ATS5pe,985.3297
ATS5se,1220.3548319999995
ATS6dv,727.0
ATS6pe,978.3397
ATS6se,1209.2518960000002
ATS7dv,714.0
ATS7pe,911.1132999999999
ATS7se,1124.636772
ATS8dv,607.0
ATS8pe,786.8552
ATS8se,973.553748
ATSC0Z,453.63934426229514
ATSC0c,2.0275525532121557
ATSC0d,35.31147540983608
ATSC0i,90.81446065744419
ATSC0m,2148.7331160000003
ATSC0p,13.870880574821308
ATSC0s,75.36703096539162
ATSC0v,2944.5497509465313
ATSC1Z,28.30825047030367
ATSC1c,-1.028061874953054
ATSC1d,10.203977425423279
ATSC1i,-15.750261221749327
ATSC1m,135.1683330000004
ATSC1p,-0.9531592441308417
ATSC1s,-6.311505270387288
ATSC1v,27.5962877307264
ATSC2Z,-13.899758129535115
ATSC2c,-0.06984737811113698
ATSC2d,-0.6148884708411694
ATSC2i,-5.6217577356298625
ATSC2m,-64.01837399999955
ATSC2p,0.1538444141771259
ATSC2s,17.79676908835736
ATSC2v,-34.39515583743612
ATSC3Z,-118.74926095135714
ATSC3c,-0.015103943329263207
ATSC3d,-10.59285138403655
ATSC3i,12.649047765905367
ATSC3m,-544.6563189999997
ATSC3p,1.7547781841599814
ATSC3s,-24.420720236495566
ATSC3v,-18.387247456152974
ATSC4Z,-206.85675893577002
ATSC4c,0.06390226756524639
ATSC4d,-13.285407148615965
ATSC4i,-7.525863014211611
ATSC4m,-990.1877109999996
ATSC4p,-4.376269466207907
ATSC4s,-13.347337931858226
ATSC4v,-1292.3650655720062
ATSC5Z,43.03386186509003
ATSC5c,0.11843199684149189
ATSC5d,-5.920451491534533
ATSC5i,-6.9190725125149175
ATSC5m,189.26831999999985
ATSC5p,-2.8725720417313303
ATSC5s,12.023082206097524
ATSC5v,-262.155755855016
ATSC6Z,26.93872614888471
ATSC6c,-0.16589743491305792
ATSC6d,-1.6981994087610863
ATSC6i,-11.752004520326226
ATSC6m,127.90267999999989
ATSC6p,-1.3872675474765337
ATSC6s,-8.78016662187584
ATSC6v,-35.895790630039485
ATSC7Z,7.665143778554167
ATSC7c,0.1520795897456621
ATSC7d,3.0075248589088934
ATSC7i,-0.4954088432039082
ATSC7m,33.19936299999999
ATSC7p,-0.14556896306899322
ATSC7s,4.509346352533669
ATSC7v,0.05420076494092996
ATSC8Z,82.04461166353131
ATSC8c,-0.14229721534450646
ATSC8d,1.0553614619725875
ATSC8i,-4.251086034733314
ATSC8m,391.73004499999985
ATSC8p,1.0272400771739398
ATSC8s,4.9196601869270475
ATSC8v,443.36950295101684
AXp-0d,0.6801264560105431
AXp-1d,0.43015031533132286
AXp-2d,0.27717955016976836
AXp-3d,0.17307405013013213
AXp-4d,0.1112172194165154
AXp-5d,0.07216631864252561
AXp-6d,0.046573149798598765
AXp-7d,0.03011286721601811
GATS1Z,0.7084121790323004
GATS1c,1.4512407681731916
GATS1d,0.7337300582425927
GATS1i,1.2874854157348314
GATS1m,0.7118680592726612
GATS1p,1.0867189659511907
GATS1s,0.7493631101536555
GATS1v,0.9076865841522457
GATS2Z,0.8956802239771152
GATS2c,1.1174642539816702
GATS2d,1.1178712798709862
GATS2i,1.1160205570007622
GATS2m,0.8946440441684158
GATS2p,0.9757497527402229
GATS2s,0.5833052959759131
GATS2v,0.9192513693940133
GATS3Z,1.0480754852409007
GATS3c,0.9671262166236863
GATS3d,1.2304293535683406
GATS3i,0.99243850120126
GATS3m,1.045101531256478
GATS3p,0.9158630400385751
GATS3s,0.9673732007632185
GATS3v,0.95371067330932
GATS4Z,1.0860710606122341
GATS4c,0.7813881426930364
GATS4d,1.128974967751584
GATS4i,1.0784480338172842
GATS4m,1.0922824115857566
GATS4p,1.12412930579013
GATS4s,0.7693891670992767
GATS4v,1.1618720252529267
GATS5Z,0.9073615682556441
GATS5c,0.6803071431609531
GATS5d,1.0553815809962106
GATS5i,1.0044447156560325
GATS5m,0.9154699434350273
GATS5p,1.0951567366419566
GATS5s,0.7106011731536933
GATS5v,1.0697099490210344
GATS6Z,0.9678138968576956
GATS6c,0.9096935871517818
GATS6d,1.0129633597600167
GATS6i,0.9927738943936412
GATS6m,0.9681592371488709
GATS6p,1.0437452516440437
GATS6s,1.3206028319679792
GATS6v,1.0109836895688047
GATS7Z,1.0137130865665123
GATS7c,1.0116658898608624
GATS7d,0.9030523793754988
GATS7i,0.9478931020354927
GATS7m,1.0119021399127623
GATS7p,0.9875131539492951
GATS7s,1.2604207871448938
GATS7v,0.9821448070247651
GATS8Z,0.950378395769801
GATS8c,1.1190115411991395
GATS8d,0.966057147991733
GATS8i,0.9542382666813076
GATS8m,0.9469158951313352
GATS8p,0.9456723576372592
GATS8s,1.129597484624863
GATS8v,0.9152492542982151
MATS1Z,0.05767508125487307
MATS1c,-0.4686331794815872
MATS1d,0.2670788666610394
MATS1i,-0.16029451156408736
MATS1m,0.05814044882655759
MATS1p,-0.0635107631222551
MATS1s,-0.07739937286902347
MATS1v,0.008661989787789863
MATS2Z,-0.01639538097918986
MATS2c,-0.018433294956147928
MATS2d,-0.009317630194334452
MATS2i,-0.033123948580747
MATS2m,-0.015942159350441108
MATS2p,0.005934753476159424
MATS2s,0.1263527627450194
MATS2v,-0.006250336061071916
MATS3Z,-0.11012401431547882
MATS3c,-0.003133863386606163
MATS3d,-0.12619985271987957
MATS3i,0.058595553003065966
MATS3m,-0.10663552272798221
MATS3p,0.053220631899777354
MATS3s,-0.13631350795908223
MATS3v,-0.00262699748557901
MATS4Z,-0.18668205304322355
MATS4c,0.012902911431419292
MATS4d,-0.1540290266898481
MATS4i,-0.033926953815774576
MATS4m,-0.188659474986346
MATS4p,-0.1291646256515325
MATS4s,-0.07250314005526434
MATS4v,-0.17968419569765332
MATS5Z,0.03594210979010556
MATS5c,0.022130992503747938
MATS5d,-0.06352474379602874
MATS5i,-0.02886667967587139
MATS5m,0.03337331971714289
MATS5p,-0.07846407434339445
MATS5s,0.060441936277778816
MATS5v,-0.033732183944706104
MATS6Z,0.02322050058932106
MATS6c,-0.03199431291120781
MATS6d,-0.01880520439016261
MATS6i,-0.050601358722269826
MATS6m,0.02327568140663281
MATS6p,-0.03910762399690466
MATS6s,-0.045554007337870156
MATS6v,-0.004766832191142783
MATS7Z,0.007207810980577689
MATS7c,0.03199577323256683
MATS7d,0.036331820454383094
MATS7i,-0.0023270330107162916
MATS7m,0.006590844590941293
MATS7p,-0.004476705789811111
MATS7s,0.025522662901368214
MATS7v,7.852000468431948e-06
MATS8Z,0.0889708008094825
MATS8c,-0.03452490016749096
MATS8d,0.014702578848054622
MATS8i,-0.02302783114422673
MATS8m,0.08968350131476767
MATS8p,0.036431417723652514
MATS8s,0.03211159287471498
MATS8v,0.07407217042188786
MAXaaN,4.606990755792284
MAXsOH,9.6049248937619
MAXssO,6.005987341766112
MINaaN,4.606990755792284
MINsOH,9.6049248937619
MINssO,5.401446280142253
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,48.195047410899896
SpAD_D,537.4638388021804
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.6607076947638286
SssNH2,0
SsssAs,0
SsssCH,-0.39449927057198275
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1473
TMWC10,156.48530673420115
TSRW10,88.69996433624402
VE1_Dt,5.9173381585122
VE2_Dt,0.16437050440311665
VE3_Dt,3.058820557855224
VR1_Dt,258.9678360075648
VR2_Dt,7.1935510002101335
VR3_Dt,6.837637714150992
Xc-3dv,0.8664873846350087
Xc-4dv,0.0
Xc-5dv,0.12687953890469642
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.21407617506269555
Xch-6d,0.6457624642754414
Xch-7d,0.9846047600706989
Xp-0dv,19.47637588702436
Xp-1dv,11.85248964574792
Xp-2dv,8.693021056994278
Xp-3dv,6.371913963635863
Xp-4dv,4.639314556220974
Xp-5dv,3.1768799850297444
Xp-6dv,1.9065183224011444
Xp-7dv,1.2216433095211372
Xpc-4d,5.102512952038498
Xpc-5d,8.54059091686682
Xpc-6d,12.94157588736389
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,66
nFRing,3
nHBAcc,8
nHBDon,2
nHRing,4
nSpiro,0
naRing,4
piPC10,8.06831239604172
AATS0dv,9.081967213114755
AATS0pe,6.480227868852458
AATS0se,7.906077639344259
AATS1dv,8.484848484848484
AATS1pe,6.686818181818183
AATS1se,7.941846121212118
AATS2dv,7.008771929824562
AATS2pe,6.664835964912281
AATS2se,8.013346315789471
AATS3dv,5.020689655172414
AATS3pe,6.436515172413795
AATS3se,7.860913682758621
AATS4dv,4.590604026845638
AATS4pe,6.309961744966443
AATS4se,7.723510684563758
AATS5dv,4.236024844720497
AATS5pe,6.120060248447205
AATS5se,7.579843677018631
AATS6dv,4.660256410256411
AATS6pe,6.2714083333333335
AATS6se,7.751614717948719
AATS7dv,4.993006993006993
AATS7pe,6.371421678321678
AATS7se,7.864592811188811
AATS8dv,4.895161290322581
AATS8pe,6.345606451612903
AATS8se,7.851239903225807
AATSC0Z,7.4367105616769695
AATSC0c,0.03323856644610091
AATSC0d,0.5788766460628865
AATSC0i,1.4887616501220358
AATSC0m,35.225133049180336
AATSC0p,0.2273914848331362
AATSC0s,1.2355250977933052
AATSC0v,48.27130739256609
AATSC1Z,0.428912885913692
AATSC1c,-0.015576695075046271
AATSC1d,0.15460571856701938
AATSC1i,-0.23864032154165646
AATSC1m,2.0480050454545515
AATSC1p,-0.014441806729255179
AATSC1s,-0.09562886773314072
AATSC1v,0.4181255716776727
AATSC2Z,-0.1219277028906589
AATSC2c,-0.0006126962992204998
AATSC2d,-0.005393758516150609
AATSC2i,-0.049313664347630376
AATSC2m,-0.5615646842105224
AATSC2p,0.001349512405062508
AATSC2s,0.1561120095469944
AATSC2v,-0.3017118933108432
AATSC3Z,-0.8189604203541871
AATSC3c,-0.00010416512640871178
AATSC3d,-0.07305414747611413
AATSC3i,0.08723481217865771
AATSC3m,-3.756250475862067
AATSC3p,0.012101918511448147
AATSC3s,-0.16841876025169356
AATSC3v,-0.12680860314588258
AATSC4Z,-1.3883003955420807
