DLiP-ID,C001ZA
AATS3p,1.5346986580939608
AATS3s,3.0795206971677573
AATS3v,194.77523079076954
AATS4Z,23.0
AATS4d,2.761904761904762
AATS4i,151.33107415427898
AATS4m,82.73336795238095
AATS4p,1.6060831634689998
AATS4s,4.184744268077604
AATS4v,212.27010032079718
AATS5Z,19.333333333333332
AATS5d,2.5714285714285716
AATS5i,152.69394457238133
AATS5m,67.52513985714285
AATS5p,1.5291977129379997
AATS5s,3.8935920047031156
AATS5v,187.00920889233865
AATS6Z,22.526315789473685
AATS6d,2.5789473684210527
AATS6i,156.46474197917334
AATS6m,84.93699747368416
AATS6p,1.4388067157417896
AATS6s,2.5412605588044186
AATS6v,180.264907041722
AATS7Z,31.428571428571427
AATS7d,2.7142857142857144
AATS7i,155.58691422784975
AATS7m,121.46394660714282
AATS7p,1.7394844668140002
AATS7s,3.8695007838526343
AATS7v,215.42400610271793
AATS8Z,31.4
AATS8d,2.8
AATS8i,145.75185553814302
AATS8m,115.95652900000002
AATS8p,2.1607668602
AATS8s,3.057407407407408
AATS8v,249.6945061770176
AMID_C,1.5294800784830382
AMID_N,0.0
AMID_O,0.2209038563428816
AMID_X,0.0
AMID_h,0.4704078505773066
ATS0dv,198.88888888888889
ATS0pe,163.41
ATS0se,201.86196200000003
ATS1dv,169.33333333333331
ATS1pe,171.48750000000007
ATS1se,206.6694520000001
ATS2dv,207.33333333333331
ATS2pe,274.60400000000004
ATS2se,336.224652
ATS3dv,162.66666666666669
ATS3pe,317.19489999999996
ATS3se,396.2577160000001
ATS4dv,190.66666666666663
ATS4pe,274.14200000000005
ATS4se,337.336236
ATS5dv,153.33333333333331
ATS5pe,261.3691
ATS5se,325.97702000000004
ATS6dv,121.33333333333333
ATS6pe,224.0874000000001
ATS6se,283.42887999999994
ATS7dv,133.44444444444446
ATS7pe,174.93090000000004
ATS7se,218.217649
ATS8dv,44.0
ATS8pe,127.60999999999999
ATS8se,158.56130399999998
ATSC0Z,432.0
ATSC0c,0.32255694824488135
ATSC0d,13.538461538461537
ATSC0i,40.812063357593814
ATSC0m,1898.7567978461543
ATSC0p,11.264576728301538
ATSC0s,63.62361506805949
ATSC0v,1436.6824681701473
ATSC1Z,21.0
ATSC1c,-0.0983708546799112
ATSC1d,2.556213017751479
ATSC1i,2.8440292193498253
ATSC1m,101.22877192899416
ATSC1p,1.008852550776478
ATSC1s,-1.2106212611910618
ATSC1v,80.74629114130886
ATSC2Z,-38.0
ATSC2c,-0.08981636966083126
ATSC2d,-4.29585798816568
ATSC2i,-7.276563742463907
ATSC2m,-158.26916650887566
ATSC2p,-1.1555980535122967
ATSC2s,-1.5406287286629166
ATSC2v,-210.6473141644221
ATSC3Z,-59.0
ATSC3c,0.11403542394894957
ATSC3d,-5.402366863905326
ATSC3i,-10.592932409757067
ATSC3m,-263.86104546745565
ATSC3p,-3.669117913014479
ATSC3s,-19.474959618834255
ATSC3v,-231.72185627383755
ATSC4Z,-224.0
ATSC4c,-0.08719294499688315
ATSC4d,-4.023668639053255
ATSC4i,-10.813156467265122
ATSC4m,-998.5067714437872
ATSC4p,-3.4583776191406392
ATSC4s,-16.353532033019206
ATSC4v,-547.5823681202295
ATSC5Z,-188.0
ATSC5c,-0.11294854868792212
ATSC5d,1.5147928994082835
ATSC5i,-9.996124083532504
ATSC5m,-848.0388860591715
ATSC5p,-3.345591895401869
ATSC5s,14.768500255679745
ATSC5v,-633.3883421608167
ATSC6Z,236.0
ATSC6c,0.10786891343666524
ATSC6d,3.751479289940827
ATSC6i,4.470389778455458
ATSC6m,1061.2589714556216
ATSC6p,1.6827739054395983
ATSC6s,-2.0924018473876025
ATSC6v,564.1218685817321
ATSC7Z,240.0
ATSC7c,0.09766857924134112
ATSC7d,0.4970414201183432
ATSC7i,16.792690261287852
ATSC7m,1060.5797916272193
ATSC7p,6.171783464388806
ATSC7s,2.3474342740724516
ATSC7v,723.8406274328725
ATSC8Z,-112.0
ATSC8c,-0.06289863395458882
ATSC8d,-1.7988165680473371
ATSC8i,5.846828689457034
ATSC8m,-493.11959603550304
ATSC8p,0.667828876226508
ATSC8s,-15.492155096143701
ATSC8v,-130.13234406336844
AXp-0d,0.7112793055389989
AXp-1d,0.45710923222524097
AXp-2d,0.3009541567772312
AXp-3d,0.2032031779985361
AXp-4d,0.13500131083590114
AXp-5d,0.08992676498829322
AXp-6d,0.059437012962242734
AXp-7d,0.035871087105335916
GATS1Z,0.7051611796982167
GATS1c,1.0293822841669396
GATS1d,0.8207070707070708
GATS1i,0.7830517143580392
GATS1m,0.6949766604286585
GATS1p,0.7242751651821164
GATS1s,0.5086076907989936
GATS1v,0.7667632954499323
GATS2Z,0.9969486531986531
GATS2c,1.0010875440194367
GATS2d,1.2590392561983472
GATS2i,1.019629436788294
GATS2m,0.9849495756350457
GATS2p,1.01336273763064
GATS2s,0.6227395172249195
GATS2v,0.9867128089059818
GATS3Z,1.0723039215686274
GATS3c,1.016997886895215
GATS3d,1.3758912655971482
GATS3i,1.113679710745407
GATS3m,1.0737763932132547
GATS3p,1.1527616693677285
GATS3s,1.3419944957256855
GATS3v,1.0516260857469417
GATS4Z,1.2180335097001762
GATS4c,1.5612548264245643
GATS4d,1.1870941558441561
GATS4i,1.1191239980867806
GATS4m,1.2225356861268442
GATS4p,1.1016102949169235
GATS4s,1.798106996733028
GATS4v,1.1001394220265495
GATS5Z,1.2083884479717812
GATS5c,1.1890903421093288
GATS5d,0.7474296536796539
GATS5i,1.1164326664044029
GATS5m,1.2180194632286305
GATS5p,1.1273821738476988
GATS5s,1.0206091272901567
GATS5v,1.2235678861519599
GATS6Z,0.5223562378167641
GATS6c,0.5472294995849449
GATS6d,0.7775119617224882
GATS6i,0.8906796445275683
GATS6m,0.5277983699123312
GATS6p,0.8008861437644126
GATS6s,0.741006510065808
GATS6v,0.7874566416591966
GATS7Z,0.47949735449735453
GATS7c,0.8983546710940352
GATS7d,1.0551948051948055
GATS7i,0.6197750558603425
GATS7m,0.4804359725188529
GATS7p,0.48011614619569604
GATS7s,1.2543503317082583
GATS7v,0.5236179684737045
GATS8Z,1.730324074074074
GATS8c,1.3232450473746873
GATS8d,0.9232954545454548
GATS8i,0.8732099363652114
GATS8m,1.6990128079643547
GATS8p,1.2282805306483708
GATS8s,1.5259211416658793
GATS8v,1.067892305894419
MATS1Z,0.04681069958847736
MATS1c,-0.2936767916710645
MATS1d,0.18181818181818182
MATS1i,0.067105031662379
MATS1m,0.051338622336689836
MATS1p,0.0862427115479323
MATS1s,-0.01832312476201551
MATS1v,0.05412169319831651
MATS2Z,-0.05197811447811448
MATS2c,-0.16453934610251844
MATS2d,-0.18749999999999997
MATS2i,-0.10535580199233781
MATS2m,-0.0492546962342867
MATS2p,-0.06061953429121222
MATS2s,-0.014308704724005219
MATS2v,-0.08663947369934695
MATS3Z,-0.06962599854756718
MATS3c,0.1802339296773714
MATS3d,-0.20343137254901966
MATS3i,-0.13232162353782922
MATS3m,-0.07084498440300305
MATS3p,-0.1660542376219862
MATS3s,-0.1560491458313354
MATS3v,-0.08222604065881431
MATS4Z,-0.32098765432098764
MATS4c,-0.16733970634262124
MATS4d,-0.183982683982684
MATS4i,-0.1640166709239494
MATS4m,-0.3255410277747876
MATS4p,-0.19005600321561208
MATS4s,-0.15911725633996227
MATS4v,-0.23594605539318053
MATS5Z,-0.26940035273368607
MATS5c,-0.21676956742243061
MATS5d,0.06926406926406926
MATS5i,-0.1516237186881647
MATS5m,-0.27648430481999053
MATS5p,-0.18385783568325992
MATS5s,0.1436951501483039
MATS5v,-0.2729187234020982
MATS6Z,0.3737816764132553
MATS6c,0.22881245137395445
MATS6d,0.18959330143540667
MATS6i,0.07494567761383747
MATS6m,0.3824210453074771
MATS6p,0.10221170730885568
MATS6s,-0.02250176082785839
MATS6v,0.2686593100145229
MATS7Z,0.5158730158730159
MATS7c,0.28116663629834887
MATS7d,0.034090909090909095
MATS7i,0.3820736101689938
MATS7m,0.51866784273921
MATS7p,0.5087578456421185
MATS7s,0.0342602411859379
MATS7v,0.4678401389065881
MATS8Z,-0.337037037037037
MATS8c,-0.2535001170673528
MATS8d,-0.17272727272727276
MATS8i,0.18624094620493784
MATS8m,-0.33761852785640173
MATS8p,0.07707147459107089
MATS8s,-0.3165460120969682
MATS8v,-0.11775187004115638
MAXaaS,1.4219342351137985
MINaaS,1.4219342351137985
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,20.728572856651535
SpAD_D,126.3367753496688
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6056481481481479
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,236
TMWC10,101.8091707014504
TSRW10,62.74681414234239
VE1_Dt,3.921975339673023
VE2_Dt,0.24512345872956393
VE3_Dt,1.8365990693083893
VR1_Dt,73.54894586006192
VR2_Dt,4.59680911625387
VR3_Dt,4.767954743900357
Xc-3dv,0.49789095789068016
Xc-4dv,0.0
Xc-5dv,0.10206207261596575
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.28867513459481287
Xch-6d,0.16666666666666666
Xch-7d,0.2845177968644246
Xp-0dv,10.144301501221756
Xp-1dv,6.664997107938054
Xp-2dv,5.196343896804531
Xp-3dv,3.9929316617262764
Xp-4dv,2.736676429074859
Xp-5dv,1.1591845436800903
Xp-6dv,0.7477150497307893
Xp-7dv,0.41254651263063946
Xpc-4d,2.040440114519881
Xpc-5d,2.6066636521029705
Xpc-6d,2.92787409033729
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,0
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,27
nFRing,0
nHBAcc,4
nHBDon,0
nHRing,2
nSpiro,0
naRing,2
piPC10,4.808111029984782
AATS0dv,7.649572649572649
AATS0pe,6.285
AATS0se,7.763921615384617
AATS1dv,6.271604938271604
AATS1pe,6.351388888888891
AATS1se,7.654424148148151
AATS2dv,4.712121212121212
AATS2pe,6.2410000000000005
AATS2se,7.6414693636363635
AATS3dv,3.189542483660131
AATS3pe,6.219507843137254
AATS3se,7.769759137254903
AATS4dv,4.539682539682539
AATS4pe,6.527190476190477
AATS4se,8.031815142857143
AATS5dv,3.6507936507936503
AATS5pe,6.223073809523809
AATS5se,7.76135761904762
AATS6dv,3.1929824561403506
AATS6pe,5.8970368421052655
AATS6se,7.458654736842104
AATS7dv,4.765873015873017
AATS7pe,6.247532142857144
AATS7se,7.793487464285714
AATS8dv,2.2
AATS8pe,6.3805
AATS8se,7.928065199999999
AATSC0Z,16.615384615384617
AATSC0c,0.012406036470956975
AATSC0d,0.5207100591715975
AATSC0i,1.569694744522839
AATSC0m,73.02910760946747
AATSC0p,0.4332529510885207
AATSC0s,2.4470621180022882
AATSC0v,55.25701800654413
AATSC1Z,0.7777777777777778
AATSC1c,-0.0036433649881448594
AATSC1d,0.09467455621301774
AATSC1i,0.10533441553147502
AATSC1m,3.749213775147932
AATSC1p,0.03736490928801771
AATSC1s,-0.044837824488557845
AATSC1v,2.990603375604032
AATSC2Z,-0.8636363636363636
AATSC2c,-0.002041281128655256
AATSC2d,-0.09763313609467454
AATSC2i,-0.1653764486923615
AATSC2m,-3.597026511565356
AATSC2p,-0.02626359212527947
AATSC2s,-0.03501428928779356
AATSC2v,-4.787438958282321
AATSC3Z,-1.1568627450980393
AATSC3c,0.002235988704881364
AATSC3d,-0.10592876203735933
AATSC3i,-0.20770455705406013
AATSC3m,-5.173745989557954
AATSC3p,-0.07194348849047998
AATSC3s,-0.38186195331047557
AATSC3v,-4.543565809290932
AATSC4Z,-5.333333333333333
AATSC4c,-0.0020760224999257894
AATSC4d,-0.09580163426317273
AATSC4i,-0.2574561063634553
AATSC4m,-23.7739707486616
AATSC4p,-0.08234232426525331
AATSC4s,-0.3893698103099811
AATSC4v,-13.037675431434035
AATSC5Z,-4.476190476190476
AATSC5c,-0.002689251159236241
AATSC5d,0.036066497604959134
AATSC5i,-0.23800295436982152
AATSC5m,-20.191402049027893
AATSC5p,-0.07965694989052069
AATSC5s,0.35163095846856535
AATSC5v,-15.080674813352779
AATSC6Z,6.2105263157894735
AATSC6c,0.0028386556167543484
AATSC6d,0.09872313920896914
AATSC6i,0.11764183627514364
AATSC6m,27.92786766988478
AATSC6p,0.04428352382735785
